Rank,generated_smiles,predicted_pic50,predicted_solubility,docking_score,combined_score,tanimoto_similarity,matched_baseline_smiles,matched_baseline_original_pic50,matched_baseline_predicted_solubility
1,COc1nc(-c2cccc(-c3cnc(CNCCN4CCN(C)CC4)c(OC)n3)c2Cl)cnc1CNCCO,9.3569,-2.2511,,,0.7592592592592593,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.59,-4.133520603179932
2,COc1nc(-c2cccc(-c3cnc(CNCCN4CCN(C)CC4)c(OC)n3)c2Cl)ccc1CNC(C)CO,9.3982,-2.4327,,,0.5945945945945946,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3F)c2Cl)ccc1CNCCO,9.54,-4.240747928619385
3,COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCN1CCOCC1,9.4167,-2.4697,,,0.59375,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.59,-4.133520603179932
4,COc1nc(-c2cccc(-c3cnc(CNC4CNC(C(=O)O)C4)c(OC)n3)c2Cl)ccc1CNC(C)CO,9.6811,-2.7556,,,0.5434782608695652,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC5CC(C(N)=O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CNCC1CNC(=O)C1,10.18,-5.414919376373291
5,COC(=O)N1CCC(OCCNCc2ncc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)nc2OC)(C(=O)O)CC1,9.4257,-2.5384,,,0.640625,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.59,-4.133520603179932
6,COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCNCCO,9.3163,-2.4564,,,0.7884615384615384,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.59,-4.133520603179932
7,CNCCN1CCN(Cc2ccc(-c3cccc(-c4cnc(CNC(CO)CO)c(OC)n4)c3Cl)nc2OC)CC1,9.4822,-2.6337,,,0.5675675675675675,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CC(O)C1,9.19,-4.997953414916992
8,COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCCN1CCNCC1,9.3854,-2.5406,,,0.5757575757575758,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.59,-4.133520603179932
9,COc1nc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CN1CC(N2CCN(C)CC2)C1,9.3353,-2.4953,,,0.6388888888888888,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3F)c2Cl)ccc1CNCCO,9.54,-4.240747928619385
10,COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCCN1CCOCC1,9.4238,-2.6177,,,0.5757575757575758,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.59,-4.133520603179932
11,COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)ccc1CN1CCN(C)CC1,9.3236,-2.5642,,,0.6,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CC(O)C1,9.19,-4.997953414916992
12,COc1nc(-c2cccc(-c3cnc(CNC(C)CO)c(OC)n3)c2Cl)ccc1CN1CCN(C)CC1,9.4137,-2.6563,,,0.5915492957746479,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CC(O)C1,9.19,-4.997953414916992
13,COc1nc(-c2cccc(-c3cnc(CN4CC(N5CCN(C)CC5)C4)c(OC)n3)c2Cl)cnc1CNCCO,9.3362,-2.5837,,,0.6956521739130435,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.54,-4.548664569854736
14,COc1nc(-c2cccc(-c3cnc(CNCCN4CCCOC4)c(OC)n3)c2Cl)ccc1CNC(CO)CO,9.368,-2.6166,,,0.5569620253164557,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3F)c2Cl)ccc1CNCCO,9.54,-4.240747928619385
15,COc1nc(-c2cccc(-c3cnc(CN4CC(N5CCN(C)CC5)C4)c(OC)n3)c2Cl)cnc1CNC(C)(CO)CO,9.4458,-2.7033,,,0.6,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C(C)(C)O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(C(C)(C)O)C1,10.19,-6.232009410858154
