Rank,mol_id,epoch,lead_smiles,lead_predicted_pic50,lead_predicted_solubility,optimized_smiles,optimized_predicted_pic50,optimized_predicted_solubility,optimized_sascore,tanimoto_similarity,solubility_improvement
1,mol129,50,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.821343,-4.2003913,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3CO)c2CO)cnc1CN,8.4531,-3.29,3.9044,0.7142857142857143,0.9103912999999997
3,mol489,100,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,9.872637,-4.570126,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(C)n3)c2)cnc1CNCCO,7.9968,-2.6145,3.5326,0.5476190476190477,1.955626
5,mol162,100,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.7258005,-4.510058,COc1nc(-c2cccc(-n3cnc(CC(=O)O)n3)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,8.1628,-3.1637,3.729,0.7721518987341772,1.346358
6,mol93,30,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,9.841015,-4.6639705,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c2C)cnc1CNCCO,8.177,-2.8644,3.6909,0.6282051282051282,1.7995704999999997
7,mol159,30,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,9.926904,-4.7580166,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NCCO)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCCO,9.6028,-3.4151,3.2335,0.6304347826086957,1.3429166000000006
9,mol291,10,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1,9.394611,-4.2980866,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-n1cnc(CN)c1,9.3607,-3.6679,3.6602,0.6046511627906976,0.6301866000000005
10,mol201,20,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.688895,-4.6318645,COc1nc(-c2cccc(-c3cccc(-c4cnc(C)[n+]([O-])c4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.5938,-4.2657,3.9117,0.6385542168674698,0.3661645
11,mol282,20,COc1nc(-c2cccc(-c3cccc(-c4cn(CCNC[C@@H]5CCC(=O)N5)c(CN)n4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,10.00797,-4.95467,COc1nc(-c2cccc(-c3cn(CCNC[C@@H]4CCC(=O)N4)c(CN)n3)c2C)cnc1CNCCO,8.0649,-1.8813,3.7563,0.6989247311827957,3.07337
13,mol256,70,OC[C@@H]1O[C@H](Oc2ccc(-c3cccc(O)c3)c(O)c2Cl)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,7.290665,-2.267201,CCc1cc(O[C@H]2O[C@@H](O)[C@@H](O[C@H]3OC[C@@H](O)[C@H](O)[C@@H]3O)[C@H](O)[C@@H]2O)c(C)cc1-c1cccc(O)c1,7.6378,-2.0184,4.4912,0.5540540540540541,0.24880099999999983
14,mol308,90,COc1nc(-c2cccc(-c3cccc(-c4cn(CCO)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.780318,-4.810196,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)n4C)c3Cl)c2Cl)cnc1CNCCO,9.7944,-4.0274,3.8734,0.725,0.7827960000000003
15,mol348,10,COc1nc(CNCCCO)nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.562541,-4.650268,CNCc1ncc(-c2cccc(-c3nc(CNCCO)nc(OC)n3)c2Cl)c(Cl)c1CNC[C@@H]1CCC(=O)N1,8.2405,-3.1291,3.8797,0.7011494252873564,1.5211679999999994
