epoch,mol_id,docking_score,smiles,canonical_smiles,pic50,solubility
70,mol333,-15.2,CCOc1nc(-c2cccc(-c3cccc(-c4cnn(C[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CCCc1nnc(-c2cccc(-c3cccc(O)c3Cl)c2Cl)o1,CCOc1nc(-c2cccc(-c3cccc(-c4cnn(C[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CCCc1nnc(-c2cccc(-c3cccc(O)c3Cl)c2Cl)o1,8.298507,-7.183168
100,mol331,-14.66,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c5c(N)ccnc45)c3Cl)c2Cl)cnc1C1CCC1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c5c(N)ccnc45)c3Cl)c2Cl)cnc1C1CCC1,9.1502695,-6.374316
60,mol289,-14.44,Cc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1C[C@H]1CCCO1,Cc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1C[C@H]1CCCO1,8.466567,-6.58819
10,mol410,-14.42,Oc1nc(Oc2cccc(-c3cccc(-c4ccccn4)n3)c2)nc(-c2ccc(-c3ccccc3Cl)cc2Cl)n1,Oc1nc(Oc2cccc(-c3cccc(-c4ccccn4)n3)c2)nc(-c2ccc(-c3ccccc3Cl)cc2Cl)n1,5.9200335,-7.442917
60,mol255,-14.31,COc1nncc(-c2cccc(-c3cccc(-c4cccc(CNC(C)=O)c4)c3Cl)c2Cl)n1,COc1nncc(-c2cccc(-c3cccc(-c4cccc(CNC(C)=O)c4)c3Cl)c2Cl)n1,7.8101983,-6.865216
70,mol293,-14.3,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CC1CCCCC1,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CC1CCCCC1,8.855346,-7.268065
20,mol83,-14.26,Oc1cccc(-c2cccc(-c3cccc(-c4cnc(O)c(O)n4)c3Cl)c2Cl)c1,Oc1cccc(-c2cccc(-c3cccc(-c4cnc(O)c(O)n4)c3Cl)c2Cl)c1,7.7748713,-6.422657
40,mol418,-14.24,Cc1nc(-c2cccc(-c3cccc(-c4ccc(CNC[C@H]5CCC(=O)N5)cn4)c3Cl)c2Cl)cnc1O,Cc1nc(-c2cccc(-c3cccc(-c4ccc(CNC[C@H]5CCC(=O)N5)cn4)c3Cl)c2Cl)cnc1O,8.574783,-6.217062
100,mol289,-14.2,O=C(O)COc1cc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(O)c4Cl)c3Cl)c2Cl)cnc1CN1CCCC1,O=C(O)COc1cc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(O)c4Cl)c3Cl)c2Cl)cnc1CN1CCCC1,8.632991,-6.320891
70,mol278,-14.17,Oc1cccc(-c2cccc(-c3cccc(-c4ccnc(O)n4)c3Cl)c2Cl)c1,Oc1cccc(-c2cccc(-c3cccc(-c4ccnc(O)n4)c3Cl)c2Cl)c1,7.6214185,-6.52862
130,mol379,-14.12,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNC[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNC[C@@H]1CCCO1,9.25307,-6.9880576
70,mol453,-14.1,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CC1CCCC1,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CC1CCCC1,8.988519,-7.051659
20,mol201,-14.07,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.688895,-4.6318645
60,mol208,-14.05,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNCC5=CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNCCC1CCCC1,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNCC5=CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNCCC1CCCC1,9.305002,-7.0241175
80,mol146,-14.05,COc1nc(-c2cccc(-c3cccc(-c4cncc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CC[C@H]1CCCCO1,COc1nc(-c2cccc(-c3cccc(-c4cncc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CC[C@H]1CCCCO1,9.253744,-6.5222144
10,mol244,-14.03,O=C1CC[C@H](CNCc2ncc(-c3cccc(-c4cccc(-c5cnnc(O)c5)c4Cl)c3Cl)c(Cl)c2OC[C@@H]2CCC(=O)N2)N1,O=C1CC[C@H](CNCc2ncc(-c3cccc(-c4cccc(-c5cnnc(O)c5)c4Cl)c3Cl)c(Cl)c2OC[C@@H]2CCC(=O)N2)N1,8.192945,-6.8501205
120,mol172,-14.03,COc1ncc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(O)c4Cl)c3Cl)c2Cl)cn1,COc1ncc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(O)c4Cl)c3Cl)c2Cl)cn1,8.182624,-6.5776043
10,mol6,-14.02,OCc1ncc(-c2cccc(-c3cccc(-c4ccnc(Cl)c4O)c3Cl)c2Cl)cc1O,OCc1ncc(-c2cccc(-c3cccc(-c4ccnc(Cl)c4O)c3Cl)c2Cl)cc1O,7.425846,-6.7098913
70,mol109,-14.02,COc1nc(-c2cccc(-c3cccc(-c4cncc(OC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1[C@@H]1CCOC1,COc1nc(-c2cccc(-c3cccc(-c4cncc(OC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1[C@@H]1CCOC1,9.127162,-7.0258327
10,mol472,-14.0,Oc1c(-c2cccc(-c3cccc(-c4cncc(OCC5=CCCC5)c4)c3Cl)c2Cl)ccnc1Cl,Oc1c(-c2cccc(-c3cccc(-c4cncc(OCC5=CCCC5)c4)c3Cl)c2Cl)ccnc1Cl,7.306685,-7.223483
70,mol415,-13.99,O=C(O)COc1c(CNC[C@H]2CCC(=O)N2)ncc(-c2cccc(-c3cccc(-c4cnc(C[C@H]5CCCO5)cn4)c3Cl)c2Cl)c1Cl,O=C(O)COc1c(CNC[C@H]2CCC(=O)N2)ncc(-c2cccc(-c3cccc(-c4cnc(C[C@H]5CCCO5)cn4)c3Cl)c2Cl)c1Cl,8.74034,-6.580305
10,mol120,-13.98,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)c4Cl)c3Cl)c2Cl)cnc1C[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)c4Cl)c3Cl)c2Cl)cnc1C[C@@H]1CCCO1,9.124214,-6.5169554
120,mol242,-13.98,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN[C@H]5CCC(=O)N5)c(O)c4Cl)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN[C@H]5CCC(=O)N5)c(O)c4Cl)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,9.519174,-6.595235
60,mol155,-13.97,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CN1CCCC1,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CN1CCCC1,9.316091,-6.7634487
10,mol241,-13.97,COc1nc(-c2cccc(-c3cccc(-c4cnc(-c5cncnc5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,COc1nc(-c2cccc(-c3cccc(-c4cnc(-c5cncnc5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.525438,-6.667793
70,mol326,-13.96,COc1nc(-c2cccc(-c3cccc(-c4cncc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1C1CCC1,COc1nc(-c2cccc(-c3cccc(-c4cncc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1C1CCC1,9.295408,-6.725891
50,mol77,-13.96,COc1nc(-c2cccc(-c3cccc(-c4cnc(OC5CCN(C(C)=O)CC5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cnc(OC5CCN(C(C)=O)CC5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCCO1,9.489214,-5.7244005
30,mol427,-13.96,COc1nc(-c2cccc(-c3cccc(-c4cnc([C@H]5CCCO5)c(O)n4)c3Cl)c2Cl)cnc1CN[C@H]1CCC(=O)N1,COc1nc(-c2cccc(-c3cccc(-c4cnc([C@H]5CCCO5)c(O)n4)c3Cl)c2Cl)cnc1CN[C@H]1CCC(=O)N1,9.38688,-6.9523993
90,mol381,-13.95,COc1nc(-c2cccc(-c3cccc(-c4cnc(C[C@H]5CCCNC5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,COc1nc(-c2cccc(-c3cccc(-c4cnc(C[C@H]5CCCNC5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.678572,-6.4509435
20,mol439,-13.93,Oc1cc(-c2cccc(-c3cccc(-c4cnn(C[C@@H]5CCC(O)(O)C5)n4)c3Cl)c2Cl)cnn1,Oc1cc(-c2cccc(-c3cccc(-c4cnn(C[C@@H]5CCC(O)(O)C5)n4)c3Cl)c2Cl)cnn1,8.049299,-5.2354727
70,mol155,-13.93,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1C1CCC1,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1C1CCC1,8.964798,-6.8547077
80,mol292,-13.91,O=C(O)COc1ccc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCCC(=O)N5)c(OC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cn1,O=C(O)COc1ccc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCCC(=O)N5)c(OC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cn1,8.495273,-6.6816483
20,mol256,-13.9,COc1nc(-c2cccc(-c3cccc(-c4cccc(CN5CCC(=O)NC5)c4)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cccc(CN5CCC(=O)NC5)c4)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,9.322864,-6.1863427
120,mol283,-13.89,COc1ncc(-c2cccc(-c3cccc(-c4cccc(CNC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)nn1,COc1ncc(-c2cccc(-c3cccc(-c4cccc(CNC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)nn1,8.5081215,-6.894272
130,mol144,-13.89,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC[C@H](O)C5)c(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC[C@H](O)C5)c(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,9.721123,-6.0239577
110,mol248,-13.89,O=C1CC[C@H](CNCc2ncc(-c3cccc(-c4cccc(-c5ccnc(CN6CCOCC6)c5O)c4Cl)c3Cl)nc2O)N1,O=C1CC[C@H](CNCc2ncc(-c3cccc(-c4cccc(-c5ccnc(CN6CCOCC6)c5O)c4Cl)c3Cl)nc2O)N1,8.991138,-5.183944
80,mol275,-13.88,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@H]5CCOC5)c4Cl)c3Cl)c2Cl)cnc1C[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cccc(OC[C@H]5CCOC5)c4Cl)c3Cl)c2Cl)cnc1C[C@@H]1CCCO1,8.659024,-6.5217032
90,mol254,-13.88,COc1nc(-c2cccc(-c3cccc(-c4cnc([C@H]5CC[C@H](Oc6ccccn6)CC5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,COc1nc(-c2cccc(-c3cccc(-c4cnc([C@H]5CC[C@H](Oc6ccccn6)CC5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.332061,-6.7211814
40,mol485,-13.87,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(CNC(=O)[C@@H]5CCC(=O)N5)c4)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(CNC(=O)[C@@H]5CCC(=O)N5)c4)c3Cl)c2Cl)cnc1CNCC[C@@H]1CCCO1,9.762795,-5.9530487
130,mol225,-13.87,COc1ncc(-c2cccc(-c3cccc(-c4cccc(CNC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cn1,COc1ncc(-c2cccc(-c3cccc(-c4cccc(CNC[C@@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cn1,8.081661,-7.058792
30,mol378,-13.87,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC(=O)[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCC1CCOCC1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC(=O)[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCC1CCOCC1,10.051682,-6.296386
10,mol453,-13.86,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNCC1CCOCC1,COc1nc(-c2cccc(-c3cccc(-c4cccc(CNC[C@H]5CCC(=O)N5)c4Cl)c3Cl)c2Cl)cnc1CNCC1CCOCC1,9.458909,-6.7956495
