epoch,mol_id,docking_score,smiles,canonical_smiles,pic50,solubility
350,mol329,-15.69,Cc1ccc(-c2[nH]c3ncc(C(=O)NCc4ccccc4)nc3c2-c2ccc(NC(=O)Nc3ccc4ccc(C(N)N)cc4c3)cc2)cc1,Cc1ccc(-c2[nH]c3ncc(C(=O)NCc4ccccc4)nc3c2-c2ccc(NC(=O)Nc3ccc4ccc(C(N)N)cc4c3)cc2)cc1,6.8530936,-6.4423985
420,mol135,-15.45,Cc1ccc(C(=O)Nc2ccc(C(N)N)cc2)cc1Nc1ncnc2cc(-c3cccc(C(=O)Nc4cccc(C(N)=O)c4)c3)ccc12,Cc1ccc(C(=O)Nc2ccc(C(N)N)cc2)cc1Nc1ncnc2cc(-c3cccc(C(=O)Nc4cccc(C(N)=O)c4)c3)ccc12,6.552132,-6.440493
170,mol459,-15.03,Cc1cn(-c2ccc(Nc3cc(N)nc4ccc(OCc5ccccc5)cc34)cc2)c2ccc(NC(=O)c3ccc4sc(C(N)N)cc4c3)cc12,Cc1cn(-c2ccc(Nc3cc(N)nc4ccc(OCc5ccccc5)cc34)cc2)c2ccc(NC(=O)c3ccc4sc(C(N)N)cc4c3)cc12,6.0106387,-6.589155
900,mol144,-14.92,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-c1ccc(Nc2nccc(-c3ccc(Cn4ccnc4)cc3)n2)c(Cl)c1,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-c1ccc(Nc2nccc(-c3ccc(Cn4ccnc4)cc3)n2)c(Cl)c1,6.75045,-6.63922
320,mol469,-14.92,Cc1nn(-c2cccc(NC(=O)c3cc4ccccc4o3)c2)cc1-c1ccc(Nc2ncc3cc(-c4ccc(C(=O)O)cc4)ccc3n2)cc1,Cc1nn(-c2cccc(NC(=O)c3cc4ccccc4o3)c2)cc1-c1ccc(Nc2ncc3cc(-c4ccc(C(=O)O)cc4)ccc3n2)cc1,6.5176654,-5.809355
430,mol132,-14.88,Cc1ccc(C(=O)Nc2cccc(-c3nc4cc(C(N)N)ccc4[nH]3)c2)cc1Nc1ccnc(-c2ccc(C(=O)O)cc2)n1,Cc1ccc(C(=O)Nc2cccc(-c3nc4cc(C(N)N)ccc4[nH]3)c2)cc1Nc1ccnc(-c2ccc(C(=O)O)cc2)n1,6.852131,-6.036899
130,mol385,-14.83,Cc1c(C(=O)Nc2ccc3n[nH]cc3c2)ccc(-c2cnc(N)c(C(=O)Nc3ccc(Nc4nccc(-c5ccccc5)n4)cc3C(=O)O)c2)c1F,Cc1c(C(=O)Nc2ccc3n[nH]cc3c2)ccc(-c2cnc(N)c(C(=O)Nc3ccc(Nc4nccc(-c5ccccc5)n4)cc3C(=O)O)c2)c1F,6.8382173,-5.990065
390,mol478,-14.8,Cc1ccc(NC(=O)c2cccc(Nc3ccnc4cc(Cl)ccc34)c2)cc1NC(=O)c1ccc2ccccc2n1,Cc1ccc(NC(=O)c2cccc(Nc3ccnc4cc(Cl)ccc34)c2)cc1NC(=O)c1ccc2ccccc2n1,6.472063,-6.5345526
430,mol165,-14.8,Cc1cc(-c2cccc(C(=O)O)c2)ccc1-c1ccc2c(-c3ccc(F)cc3)nnn2c1,Cc1cc(-c2cccc(C(=O)O)c2)ccc1-c1ccc2c(-c3ccc(F)cc3)nnn2c1,6.1201596,-5.8762393
130,mol428,-14.76,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc2cnc(Nc3ccc(-c4cnn(C)c4)c(F)c3)nc2[nH]1,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc2cnc(Nc3ccc(-c4cnn(C)c4)c(F)c3)nc2[nH]1,6.5367165,-6.7452865
560,mol307,-14.76,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN(C)C(=O)N4)c3ccccc23)cc1N,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN(C)C(=O)N4)c3ccccc23)cc1N,6.166876,-6.364409
200,mol278,-14.75,Cc1ccc(NC(=O)c2cccc3ccccc23)cc1NC(=O)c1cccc(-c2nnc(-c3cccc([N+](=O)[O-])c3)o2)c1,Cc1ccc(NC(=O)c2cccc3ccccc23)cc1NC(=O)c1cccc(-c2nnc(-c3cccc([N+](=O)[O-])c3)o2)c1,6.411637,-6.3466554
250,mol171,-14.74,Cc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4cccc(C(F)(F)F)c4)c4ccccc43)c2)cc(Nc2nccc(Nc3ccc4ncccc4c3)n2)c1,Cc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4cccc(C(F)(F)F)c4)c4ccccc43)c2)cc(Nc2nccc(Nc3ccc4ncccc4c3)n2)c1,6.616044,-5.6826277
300,mol318,-14.73,Cc1cc(NC(=O)c2cccc(C(=O)Nc3ccc4c(c3)OCO4)c2)ccc1NC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(N3C[C@H]4CC[C@H](CC4)C3)n2)cc1,Cc1cc(NC(=O)c2cccc(C(=O)Nc3ccc4c(c3)OCO4)c2)ccc1NC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(N3C[C@H]4CC[C@H](CC4)C3)n2)cc1,6.917369,-6.204112
350,mol267,-14.7,Cc1cc(C(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)cc(C(=O)Nc2ccc3c(N)ncc(C(=O)O)c3c2)c1,Cc1cc(C(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)cc(C(=O)Nc2ccc3c(N)ncc(C(=O)O)c3c2)c1,7.044312,-6.43796
280,mol341,-14.64,Cc1ccc(NC(=O)c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)cc1C(=O)N1Cc2ccccc2C1,Cc1ccc(NC(=O)c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)cc1C(=O)N1Cc2ccccc2C1,6.1737294,-6.5112696
890,mol362,-14.59,Cc1c(Cn2cncc2-c2ccc(C(=O)NCc3ccccc3)cc2)[nH]c2ncc(-c3ccc(N4CCOCC4)cc3)cc12,Cc1c(Cn2cncc2-c2ccc(C(=O)NCc3ccccc3)cc2)[nH]c2ncc(-c3ccc(N4CCOCC4)cc3)cc12,6.1471486,-6.6190205
950,mol38,-14.56,CCc1cc([C@@H](O)c2ccc(O)cc2)cc(N2CCC[C@H](CNC(=O)c3ccc4nc(C)cc(C)c4c3)C2=O)c1,CCc1cc([C@@H](O)c2ccc(O)cc2)cc(N2CCC[C@H](CNC(=O)c3ccc4nc(C)cc(C)c4c3)C2=O)c1,6.9878335,-5.473016
280,mol125,-14.55,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(Nc3cccc(C(=O)Nc4ccccc4)c3)ncnc2c1,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(Nc3cccc(C(=O)Nc4ccccc4)c3)ncnc2c1,6.463873,-6.3987384
820,mol394,-14.53,Cc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4ccccc4c3)cc2)cc1NC(=O)c1ccccc1C(=O)O,Cc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4ccccc4c3)cc2)cc1NC(=O)c1ccccc1C(=O)O,6.427326,-6.2148404
320,mol222,-14.52,Cc1ccc(NC(=O)c2ccc(-c3cccc(C(=O)Nc4cc(C(=O)Nc5cccc(C(=O)O)c5)ccc4F)c3)cc2)cc1,Cc1ccc(NC(=O)c2ccc(-c3cccc(C(=O)Nc4cc(C(=O)Nc5cccc(C(=O)O)c5)ccc4F)c3)cc2)cc1,6.473926,-6.3382916
240,mol492,-14.52,Cc1ccc(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc1-c1nc2cc(-c3ccc(C(=O)O)cc3)ccc2[nH]1,Cc1ccc(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc1-c1nc2cc(-c3ccc(C(=O)O)cc3)ccc2[nH]1,6.4009047,-6.4860377
880,mol225,-14.51,Cc1ccc(C(=O)Nc2ccc(S(O)(O)O)c3ccc(C(=O)O)cc23)cc1NC(=O)c1ccc(-c2ccccc2)cc1,Cc1ccc(C(=O)Nc2ccc(S(O)(O)O)c3ccc(C(=O)O)cc23)cc1NC(=O)c1ccc(-c2ccccc2)cc1,6.467455,-6.086501
90,mol348,-14.51,Cc1cc(C(=O)Nc2cccc(C(F)(F)F)c2)ccc1NC(=O)c1cnc2ccc(N3CCC(=O)NC3=O)cc2c1,Cc1cc(C(=O)Nc2cccc(C(F)(F)F)c2)ccc1NC(=O)c1cnc2ccc(N3CCC(=O)NC3=O)cc2c1,6.745034,-6.7083497
110,mol446,-14.5,Cc1c(-c2cccc(C(=O)NCc3cccc(S(N)(=O)=O)c3)c2)cccc1-c1ccc2c(N3CCOCC3)ccc(Nc3ccnc(N)n3)c2n1,Cc1c(-c2cccc(C(=O)NCc3cccc(S(N)(=O)=O)c3)c2)cccc1-c1ccc2c(N3CCOCC3)ccc(Nc3ccnc(N)n3)c2n1,6.9326754,-5.412142
900,mol190,-14.47,CN(Cc1ccc2c(c1)C(=O)N[C@@H](NC(=O)c1cccc(-c3ccccc3)c1)C2)C(=O)c1ccc(C(F)(F)[PH](O)(O)O)cc1,CN(Cc1ccc2c(c1)C(=O)N[C@@H](NC(=O)c1cccc(-c3ccccc3)c1)C2)C(=O)c1ccc(C(F)(F)[PH](O)(O)O)cc1,6.521169,-4.841951
580,mol58,-14.44,Cc1ccc(NC(=O)c2cccc(Nc3ncnc4ccccc34)c2)cc1NC(=O)c1ccc(-c2ccccc2)cc1,Cc1ccc(NC(=O)c2cccc(Nc3ncnc4ccccc34)c2)cc1NC(=O)c1ccc(-c2ccccc2)cc1,6.291111,-6.6353645
500,mol134,-14.43,Cc1ccc(NC(=O)c2cccc(C(=O)Nc3nc4ccc(-c5ccccc5)cc4[nH]3)c2)cc1N1Cc2ccccc2C1=O,Cc1ccc(NC(=O)c2cccc(C(=O)Nc3nc4ccc(-c5ccccc5)cc4[nH]3)c2)cc1N1Cc2ccccc2C1=O,5.739786,-7.208948
380,mol185,-14.42,Cc1cc(-c2cccc(C(=O)O)c2)ccc1Nc1nccc(Cc2cccc(C(=O)Nc3cccc(C(F)(F)F)c3)c2)n1,Cc1cc(-c2cccc(C(=O)O)c2)ccc1Nc1nccc(Cc2cccc(C(=O)Nc3cccc(C(F)(F)F)c3)c2)n1,6.6802483,-6.1876135
