Rank,generated_smiles,predicted_pic50,predicted_solubility,heavy_atoms,docking_score,tanimoto_similarity,matched_baseline_smiles,matched_baseline_original_pic50,matched_baseline_predicted_solubility
1,CC(=O)C1CCC2C3CCC4CC(OS(=O)(=O)O)C(N=S)CC4(C)C3CCC12C,6.9988,-4.5049,29,-6.024,0.11214953271028037,CC(=O)N1CCC(S(C)(=O)=Nc2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.82,-3.00317645072937
2,CC1CC(=O)CC2(O)CCC3=C(CCC4(C)C(O)C(O)C(O)CC34O)C12C,6.8315,-2.2668,27,-7.725,0.1276595744680851,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(C)(O)C1,10.19,-6.482330799102783
3,CN(C(=O)C1CCC2C3CC(O)C4(F)C(C=O)C(O)CCC4(C)C3CCC12C)C1CC(O)CC1O,7.3842,-3.9169,35,-6.781,0.1297709923664122,Cc1c(-c2nc3cc(CN4CCC(C)(C(=O)O)C4)cc(C#N)c3o2)cccc1-c1cccc(-c2nc3c(s2)CN(C(=O)CNC2CC(O)C2)C3)c1C,5.52,-5.984831809997559
4,COC1OCC2OC(OC)C3(C)CC4CCC(C)C(CO)(O4)C3CC2(C)C1CO,7.0259,-2.2625,29,-5.714,0.13402061855670103,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCC(CO)C1,10.19,-6.080991744995117
5,CC(C)C(O)CCC(C)C1CC(O)C2C3C=C4C(=O)C(C)(C)C(O)CC4(C)C(O)C3(C)CCC12C,7.2272,-5.4632,35,-6.645,0.13541666666666666,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CC(C)(C)C(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(C)(C)C(=O)N1,10.1,-6.685648441314697
6,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC1O,6.9479,-6.2982,30,-6.617,0.13580246913580246,O=C(CCCN1CCC(O)C1)N1CCCC2(CCCN(C(=O)CCCN3CCC(O)C3)C2)C1,6.08,-1.728528380393982
7,CC(CC#CC1=CCC(=O)CC1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,6.4334,-6.2884,33,-7.568,0.13636363636363635,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC5CCC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19,-6.13833475112915
8,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(C)(C(=O)O)CC5CCC43C)C12,7.2791,-6.5422,34,-6.479,0.13821138211382114,Cc1c(-c2nc3cc(CN4CCC(C)(C(=O)O)C4)cc(C#N)c3o2)cccc1-c1cccc(-c2nc3c(s2)CN(C(=O)CN2CCC(O)C2)C3)c1C,5.52,-5.768613338470459
9,CC(=O)NC12CCC(C(=O)CO)C(C)(CC1)C1(C)C(CCC3C4CCC(O)C4(C)CCC31)C2,7.2579,-5.0352,33,-7.589,0.13924050632911392,O=C(CCCN1CCC(O)C1)N1CCCC2(CCCN(C(=O)CCCN3CCC(O)C3)C2)C1,6.08,-1.728528380393982
10,CC(=O)OCC12CCC(C)C(=O)C1C1=CCC3C4(C)CCC(O)C(C)(CO)C4CCC3(C)C1(C)CC2,6.9638,-6.5233,36,-7.389,0.14285714285714285,COC(=O)C(CO)NCc1cnc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C5CC5)c(CNC(CO)C(=O)OC)cn4)c3C)c2C)cc1C1CC1,8.8,-5.280025005340576
11,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(CO)C5CCC43C)C12,7.2522,-6.5052,34,-6.694,0.14893617021276595,Cc1cc(CN2CCCC(O)C2C(=O)O)ccc1C#Cc1cccc(-c2ccccc2)c1C,5.67,-4.438409805297852
12,NC(=O)CCC(CCC(N)=O)=NC(=O)C(CC1CCNCC1)CN(O)C=O,7.0267,-1.821,27,-7.2,0.15053763440860216,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCC(N)=O,10.19,-4.914292335510254
13,CC(=O)CC(O)C(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,7.4521,-5.6669,28,-6.542,0.1527777777777778,O=C(CCCN1CCC(O)C1)N1CCCC2(CCCN(C(=O)CCCN3CCC(O)C3)C2)C1,6.08,-1.728528380393982
14,N#CC1(NC(=O)C2CC3CC3N2C(=O)C2NC3CCCC3N2)CCOCC1,6.8701,-1.9361,27,-6.585,0.15454545454545454,N#Cc1cncc(COc2cc(C(=O)N3CCc4c(-c5ccccc5)cccc43)ccc2CNC2CCOCC2)c1,6.42,-6.791560649871826
15,CC12CCC3C4CCC(O)(CS(=O)(=O)O)C4CCC3C1CC=C2C(=O)O,7.0974,-2.8703,26,-7.086,0.15476190476190477,COc1cc(-c2cccc(-c3cccc(-c4ccc(CN5CCCCC5C(=O)O)c(OC)c4)c3C)c2C)ccc1CO,6.33,-5.998541355133057
