canonical_smiles,PD1PDL1pIC50_raw (raw),PD1PDL1Sol_raw (raw),SAScore (raw),combined_sum
COc1nc(-c2cccc(-c3cnc(CNCCN4CCN(C)CC4)c(OC)n3)c2Cl)cnc1CNCCO,9.3569,-2.2511,3.1602,7.1057999999999995
COc1nc(-c2cccc(-c3cnc(CNCCN4CCN(C)CC4)c(OC)n3)c2Cl)ccc1CNC(C)CO,9.3982,-2.4327,3.5044,6.965499999999999
COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCN1CCOCC1,9.4167,-2.4697,3.2686,6.947000000000001
COc1nc(-c2cccc(-c3cnc(CNC4CNC(C(=O)O)C4)c(OC)n3)c2Cl)ccc1CNC(C)CO,9.6811,-2.7556,4.1299,6.925500000000001
COC(=O)N1CCC(OCCNCc2ncc(-c3cccc(-c4cnc(CNCCO)c(OC)n4)c3Cl)nc2OC)(C(=O)O)CC1,9.4257,-2.5384,3.5802,6.887300000000001
COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCNCCO,9.3163,-2.4564,3.3093,6.8599
CNCCN1CCN(Cc2ccc(-c3cccc(-c4cnc(CNC(CO)CO)c(OC)n4)c3Cl)nc2OC)CC1,9.4822,-2.6337,3.1591,6.8485000000000005
COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCCN1CCNCC1,9.3854,-2.5406,3.3345,6.844800000000001
COc1nc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CN1CC(N2CCN(C)CC2)C1,9.3353,-2.4953,3.1302,6.84
COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)cnc1CNCCCN1CCOCC1,9.4238,-2.6177,3.2741,6.8061
COc1nc(-c2cccc(-c3cnc(CNC(CO)CO)c(OC)n3)c2Cl)ccc1CN1CCN(C)CC1,9.3236,-2.5642,3.0621,6.759400000000001
COc1nc(-c2cccc(-c3cnc(CNC(C)CO)c(OC)n3)c2Cl)ccc1CN1CCN(C)CC1,9.4137,-2.6563,3.4176,6.7574000000000005
COc1nc(-c2cccc(-c3cnc(CN4CC(N5CCN(C)CC5)C4)c(OC)n3)c2Cl)cnc1CNCCO,9.3362,-2.5837,3.2341,6.7524999999999995
COc1nc(-c2cccc(-c3cnc(CNCCN4CCCOC4)c(OC)n3)c2Cl)ccc1CNC(CO)CO,9.368,-2.6166,3.3154,6.7514
COc1nc(-c2cccc(-c3cnc(CN4CC(N5CCN(C)CC5)C4)c(OC)n3)c2Cl)cnc1CNC(C)(CO)CO,9.4458,-2.7033,3.4368,6.7425
