epoch,mol_id,docking_score,smiles,canonical_smiles,pic50,solubility,combined_score,Rank,max_tanimoto
50,mol129,-12.84,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.821343,-4.2003913,5.620951700000001,1,0.8513513513513513
90,mol330,-12.01,COc1nc(-c2cccc(-c3ccccc3Cl)c2Cl)cnc1CC[N@H+]1CC[C@H](O)C1,COc1nc(-c2cccc(-c3ccccc3Cl)c2Cl)cnc1CC[N@H+]1CC[C@H](O)C1,9.263986,-3.7240381,5.5399479,2,0.5873015873015873
100,mol489,-12.89,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,9.872637,-4.570126,5.302510999999999,3,0.8243243243243243
80,mol89,-13.16,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CC[NH+]1CCC1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CC[NH+]1CCC1,9.722626,-4.455401,5.267225,4,0.8153846153846154
100,mol162,-12.76,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.7258005,-4.510058,5.2157425,5,0.7794117647058824
30,mol93,-12.82,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,9.841015,-4.6639705,5.177044500000001,6,0.7681159420289855
30,mol159,-12.86,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,9.926904,-4.7580166,5.1688874,7,0.75
70,mol202,-12.96,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CC[NH+]1CCCC1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CC[NH+]1CCCC1,9.659044,-4.490335,5.168709,8,0.8153846153846154
10,mol291,-12.18,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1,9.394611,-4.2980866,5.096524399999999,9,0.8732394366197183
20,mol201,-14.07,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.688895,-4.6318645,5.057030500000001,10,0.7794117647058824
