Rank,generated_smiles,predicted_pic50,predicted_solubility,docking_score,combined_score,tanimoto_similarity,matched_baseline_smiles,matched_baseline_original_pic50,matched_baseline_predicted_solubility,mol_id,epoch
1,CC(=O)N[C@@H](Cc1ccc(-c2ccc(C[N@@H+]3CCNC(=O)C3)cn2)cc1)C(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,7.597329,-1.4947226,-12.21,6.1026064,0.24210526315789474,CC(=O)NCCNCc1ccc(-c2cccc(-c3ccccc3)c2C)nc1,7.28,-3.2285070419311523,mol97,410
2,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(F)c3)[C@H]2O)c1,7.350369,-2.4725955,-12.55,4.8777735,0.19148936170212766,Cc1c(C=Cc2cc(CNC(C)(CO)C(=O)O)ccc2C(F)(F)F)cccc1-c1cccc(F)c1,7.34,-6.163204193115234,mol399,560
3,Cc1nc(Nc2ncc(C(=O)Nc3ccc4nc(N)sc4c3)s2)cc(N2CC[NH+](CC(=O)Nc3cccc(S(N)(=O)=O)c3)CC2)n1,7.6452303,-3.0813868,-12.33,4.563843499999999,0.2066115702479339,Cc1c(Nc2nccc3cc(CN4CCC(O)C4)cnc23)cccc1-c1cccc(Nc2nccc3cc(CN4CCC(C(=O)O)C4)cnc23)c1C,9.26,-5.838118553161621,mol250,270
4,Cc1ccc(NC(=O)c2ccc(C[N@H+]3CC[N@H+](C)CC3)cc2)cc1Nc1nccc(-c2cncnc2)n1,7.3171163,-2.7647402,-12.26,4.5523761,0.21978021978021978,Cc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C)c(CNC5CC5)cn4)c3C)c2C)ncc1CNC1CC1,9.08,-6.116523265838623,mol110,390
5,Cc1cccc(C(=O)Nc2ccc(C[N@H+]3CC[N@H+](C)CC3)c(C(=O)Nc3ccc(C(N)N)cc3)c2)c1,6.780596,-2.3440943,-12.04,4.4365017,0.22340425531914893,Cc1c(C(=O)Nc2ccc(CNCCO)cc2)cccc1-c1cccc(-c2nnc(Nc3cccc(CNCCO)c3)o2)c1C,6.9,-5.933644771575928,mol254,720
6,Cc1ccc(NC(=O)c2ccc(C[N@H+]3CC[N@H+](C)CC3)cc2)cc1-c1ccc2nc(N)nc(N)c2n1,7.221973,-2.8127782,-12.24,4.4091948,0.21348314606741572,CC(=O)c1ccc(NC(=O)c2nc(-n3ccnc3)c3ccccc3n2)cc1,7.08,-4.026083946228027,mol48,660
7,CC(=O)N[C@H](Cc1cccc(-c2cccc(-c3nc4ccccc4o3)c2)c1)C(=O)N[C@@H]1CC[N@H+](CC(=O)N2CCOCC2)C1,7.297666,-2.8935504,-12.93,4.404115600000001,0.3211009174311927,Cc1c(OCCCN2CCOCC2)cccc1-c1ccc2nc(-c3cccc(CNCCO)c3)oc2c1,6.24,-4.087230682373047,mol149,230
8,CC(=O)N1CC[NH+](Cc2ccc(NC(=O)c3cccc(-c4n[nH]c([C@H]5CC[N@@H+](Cc6ccccc6C)C5)n4)c3)cc2)CC1,6.724376,-2.3562002,-12.86,4.3681758,0.2621359223300971,CC(=O)N1CCN(Cc2ccc(O)c(C(=O)C=Cc3cccc(-c4ccccc4)c3C)c2)CC1,4.84,-4.7835564613342285,mol490,370
9,CCc1c(C2CCN(C(=O)Nc3ccc(N4CCN(C(C)=O)CC4)cc3)CC2)sc2ncnn12,7.118866,-2.797185,-12.15,4.321681,0.23958333333333334,CC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.62,-2.3196234703063965,mol330,400
10,Cc1ccc(C(=O)Nc2ccc(C[N@H+]3CC[N@@H+](CCO)CC3)cc2)cc1C(=O)Nc1cccc(C(=O)c2ccccc2)c1,6.8498354,-2.5384548,-12.56,4.3113806,0.2857142857142857,Cc1c(C(=O)Nc2ccc(CNCCO)cc2)cccc1-c1cccc(-c2nnc(Nc3cccc(CNCCO)c3)o2)c1C,6.9,-5.933644771575928,mol367,820
11,CN(CCOc1ccc([C@@H]2OC(=O)Nc3cc(NC(=O)[C@H]4CCC(=O)N4)ccc3[C@@H]3CC[N@H+]32)cc1)S(=O)(=O)c1ccc(B(O)O)cc1,7.6555614,-3.373538,-12.03,4.2820234,0.21311475409836064,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN(C)CCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,9.92,-5.138393878936768,mol420,660
12,Cc1cc(C)c(-c2[nH]c3ncc(-c4cccc(C[N@H+]5CC[N@@H+](C)CC5)c4)cc3c2C)cc1C(=O)N1CCOCC1,7.3859854,-3.1061802,-12.56,4.2798052,0.3076923076923077,Cc1c(-c2ccccc2)cccc1N1C(=O)c2ccc(C(=O)N3CCOCC3)cc2C1=O,5.71,-5.083200454711914,mol57,110
13,Cc1nc(Nc2ncc(C(=O)Nc3cccc4ccccc34)c(N)n2)cc(N2CC[NH+](CCO)CC2)n1,7.188367,-2.9641242,-12.27,4.224242800000001,0.28431372549019607,Cc1c(Nc2nccc3cc(CN4CCCCC4C(=O)O)cnc23)cccc1-c1ccccc1,7.26,-5.256309509277344,mol66,40
14,Cc1cn(-c2nc(Nc3ccc(C(=O)N[C@H](CO)C(=O)O)cc3)ncc2F)cc1C[N@H+]1CC[C@H](O)C1,7.121925,-2.8994627,-12.26,4.2224623,0.2549019607843137,Cc1c(NC(=O)c2cc(C3CC3)c(CNC(CO)C(=O)O)cn2)cccc1-c1cccc(NC(=O)c2cc(C3CC3)c(CNC(CO)C(=O)O)cn2)c1C,9.57,-4.64414119720459,mol196,160
15,Cc1cccc(CC[N@H+]2CC[C@H](NC(=O)c3cc4ccc(C(N)N)cc4[nH]3)CC2)c1,6.755967,-2.5454106,-12.2,4.2105564,0.21839080459770116,Cc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C)c(CNC5CC5)cn4)c3C)c2C)ncc1CNC1CC1,9.08,-6.116523265838623,mol54,690
