chembl_id,stereo_id,conf_id,smiles
CHEMBL221428,0,0,c1cc2[nH]c(-c3n[nH]c4cc(-c5cn[nH]c5)ccc34)cc2cc1CN1CCOCC1
CHEMBL221479,0,6,c1cc(-c2ccc3c(-c4cc5cc(CN6CCOCC6)ccc5[nH]4)n[nH]c3c2)[nH]n1
CHEMBL376646,0,7,Cn1cc(-c2ccc3c(-c4cc5cc(CN6CCOCC6)ccc5[nH]4)n[nH]c3c2)cn1
CHEMBL2381234,0,6,O=C(Nc1ccccc1N1CCNCC1)c1csc(N2CCc3c(F)ccc(F)c3C2)n1
CHEMBL2381233,0,6,O=C(Nc1ccccc1N1CCNCC1)c1csc(N2CCc3ccccc3C2)n1
CHEMBL2381237,0,5,O=C(Nc1ccccc1N1CCNCC1)c1csc(N2CCc3sccc3C2)n1
CHEMBL3560957,0,0,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cccc2c1C(=O)N(CCN1CCOCC1)C2
CHEMBL3819357,0,0,CN1CCN(c2ccc3nc(-c4ccc5nc(-c6ccc(OCCO)cc6)[nH]c5c4)[nH]c3c2)CC1
CHEMBL374713,0,9,OCc1n[nH]nc1-c1ccc2c(-c3cc4cc(CN5CCCCC5)ccc4[nH]3)n[nH]c2c1
CHEMBL219789,0,2,NCc1nn[nH]c1-c1ccc2c(-c3cc4cc(CN5CCC(F)CC5)ccc4[nH]3)n[nH]c2c1
CHEMBL401684,0,6,CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(=O)Nc3ccccc3N)cc2)CC1
CHEMBL219788,0,0,OCc1nn[nH]c1-c1ccc2c(-c3cc4cc(CN5CCC(F)CC5)ccc4[nH]3)n[nH]c2c1
CHEMBL1171658,0,3,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]c(=O)[nH]c2c1
CHEMBL1784634,0,4,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C
CHEMBL3680792,0,3,N#Cc1ccc2cc(C(=O)NCc3cccc(C(=O)Nc4nc5c(s4)C[C@@H](N4CCOCC4)CC5)c3)[nH]c2c1
CHEMBL4082495,0,6,O=C(Nc1ccc(C2=NCCN2)cc1)c1ccc2c(c1)CN(Cc1ccccc1)C2=O
CHEMBL2381239,0,3,O=C(Nc1ccccc1N1CCNCC1)c1csc(NC2Cc3ccccc3C2)n1
CHEMBL219731,0,0,CC(=O)N1CCN(Cc2ccc3[nH]c(-c4n[nH]c5cc(-c6nnn[nH]6)ccc45)cc3c2)CC1
CHEMBL1784636,0,2,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(=O)NCCO)n1C
CHEMBL3680788,0,9,O=C(NCc1cccc(C(=O)Nc2nc3c(s2)C[C@@H](N2CCOCC2)CC3)c1)c1cccc(-c2cn[nH]c2)c1
CHEMBL2381229,0,0,O=C(Nc1ccccc1N1CCNCC1)c1csc(NCc2ccccc2)n1
CHEMBL3673098,0,3,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2cc3ccccc3[nH]2)cc1
CHEMBL2381109,0,2,O=C(Nc1cnccc1N1CCNCC1)c1csc(-c2ccc3occc3c2)n1
CHEMBL4089517,0,5,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2cc3cccnc3[nH]2)cc1
CHEMBL3680797,0,0,CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc(-c5cccnc5)n[nH]4)c3)cc2C1
CHEMBL3680759,0,9,CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc(-c5ccncc5)n[nH]4)c3)cc2C1
CHEMBL3897209,0,2,NC(=O)c1ccc2[nH]c(-c3ccc(C(O)c4cnc5ccccc5c4)cc3)nc2c1
CHEMBL578741,0,0,Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1
CHEMBL3680698,0,3,CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(-c5cnco5)cc4)c3)sc2C1
CHEMBL3680760,0,7,CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(-c5cn[nH]c5)s4)c3)sc2C1
CHEMBL174576,0,1,NC(=O)c1ccc2[nH]c(-c3ccc4[nH]c(-c5ccccc5)nc4c3)nc2c1
CHEMBL4083264,0,5,Nc1ccccc1NC(=O)c1ccc(NC(=S)NCc2ccc(F)nc2)cc1
CHEMBL4092869,0,6,Nc1ccccc1NC(=O)c1ccc(NC(=S)NCc2cccnc2)cc1
CHEMBL4070085,0,8,Nc1ccccc1NC(=O)c1ccc(NC(=S)NCc2cncc(F)c2)cc1
CHEMBL3700938,0,0,CN1CCc2nc(NC(=O)c3cccc([C@H]4CCCN4C(=O)Nc4cccc(C(N)=O)c4)c3)sc2C1
CHEMBL3819509,0,3,CN1CCN(c2ccc3nc(-c4ccc5nc(-c6ccc(OCCOCCO)cc6)[nH]c5c4)[nH]c3c2)CC1
CHEMBL3673110,0,5,Nc1ccc2[nH]c(C(=O)NCc3ccc(C(=O)Nc4ccccc4N)cc3)cc2c1
CHEMBL3680795,0,1,CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc5c(c4)CCC(=O)N5)c3)cc2C1
CHEMBL1784638,0,6,COCCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc(C(N)=O)n4C)c3)cc2C(F)(F)F)CC1
CHEMBL3704395,0,6,CN1CCN(C2CCc3nc(NC(=O)c4cccc(OCC(=O)Nc5ccc(C#N)cc5)c4)sc3C2)CC1
CHEMBL3702642,0,0,CC(C)c1cccc(NC(=O)c2cccc(N3Cc4cnc(N)nc4C3)c2)c1
CHEMBL4081642,0,6,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2cc3ccncc3[nH]2)cc1
CHEMBL4061360,0,0,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2cc3cnccc3[nH]2)cc1
