Rank,mol_id,lead_smiles,lead_pic50,lead_solubility,optimized_smiles,optimized_pic50,optimized_solubility,sascore,tanimoto
1,mol129,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.821343,-4.2003913,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCOCC5)c(OC)n4)c3CO)c2Cl)cnc1CNCCO,9.8415,-3.8591,3.2793,0.5227272727272727
3,mol489,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,9.872637,-4.570126,CNCc1ncc(-c2cccc(-c3cccc(-c4cnc(CN(C)C)c(OC)n4)c3Cl)c2Cl)nc1OC,9.8465,-6.2445,3.1648,0.4177215189873418
5,mol162,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.7258005,-4.510058,COc1cc(CNCCN)ccc1-c1cccc(-c2cnc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)c1Cl,9.8478,-3.6018,3.4566,0.6162790697674418
6,mol93,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,9.841015,-4.6639705,COc1nc(-c2cccc(-c3cccc(CN4CC[C@@H](C(=O)NCCN)C4)c3OC)c2Cl)cnc1CNCCO,9.9245,-2.8462,3.4113,0.4117647058823529
7,mol159,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,9.926904,-4.7580166,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NCCN)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCCN(C)C,9.7851,-3.9738,3.2874,0.5858585858585859
9,mol291,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1,9.394611,-4.2980866,COc1nc(-c2cccc(-c3ccc(-c4cnc(CN)c(C)n4)c(OC)n3)c2Cl)ccc1CN1CC[C@H](C(=O)NCCO)C1,9.7178,-3.9129,3.6052,0.375
10,mol201,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.688895,-4.6318645,COc1nc(-c2cccc(-c3cccc(-n4ccnn4)c3OCCNCCCN)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.9044,-2.5334,3.8715,0.6063829787234043
11,mol282,COc1nc(-c2cccc(-c3cccc(-c4cn(CCNC[C@@H]5CCC(=O)N5)c(CN)n4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,10.00797,-4.95467,COc1nc(-c2cccc(-c3cccc(-c4cn(CCN)c(CN)n4)c3CN)c2Cl)cnc1CNCCO,9.7209,-2.7677,3.3256,0.5257731958762887
13,mol256,OC[C@@H]1O[C@H](Oc2ccc(-c3cccc(O)c3)c(O)c2Cl)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,7.290665,-2.267201,Cc1ccc(Oc2cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2C)cc1,7.9065,-2.8133,3.3954,0.30666666666666664
14,mol308,COc1nc(-c2cccc(-c3cccc(-c4cn(CCO)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.780318,-4.810196,COc1cccc(-c2cccc(-c3cnc(CNC[C@H]4CCC(=O)N4)c(OC)n3)c2Cl)c1CN(C)CCO,9.7946,-3.8687,3.5691,0.6746987951807228
15,mol348,COc1nc(CNCCCO)nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.562541,-4.650268,COc1nc(-c2cccc(-c3cccc(CN4CCC[C@H](C(=O)NCCN)C4)c3OC)c2Cl)cnc1CNCCO,9.9949,-3.2676,3.4345,0.411214953271028
