Rank,mol_id,lead_smiles,lead_pic50,lead_solubility,optimized_smiles,optimized_pic50,optimized_solubility,sascore,tanimoto
1,mol129,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.821343,-4.2003913,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCCN)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.9402,-3.8798,3.9475,0.7721518987341772
3,mol489,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,9.872637,-4.570126,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCCO5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.9025,-5.7519,3.7495,0.5365853658536586
5,mol162,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.7258005,-4.510058,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CN5CC(=O)NC(C)(C)C5)c(OC)n4)c3Cl)c2Cl)n1,9.8878,-4.9741,3.4552,0.6071428571428571
6,mol93,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,9.841015,-4.6639705,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCO,9.9025,-5.7519,3.7495,0.49411764705882355
7,mol159,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,9.926904,-4.7580166,CNCc1ncc(-c2cccc(-c3cccc(-c4cn(CC(=O)N5CCN(C)CC5)c(=O)[nH]4)c3Cl)c2Cl)nc1OC,9.8959,-4.3113,3.2079,0.504950495049505
9,mol291,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1,9.394611,-4.2980866,CCNCc1ncccc1-c1cccc(-c2ccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c(OC)n2)c1Cl,9.735,-4.9919,3.7376,0.7215189873417721
10,mol201,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.688895,-4.6318645,COc1nc(-c2cccc(-c3cccc(-c4cnc(C)n4C)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.8461,-6.0901,3.7105,0.6835443037974683
11,mol282,COc1nc(-c2cccc(-c3cccc(-c4cn(CCNC[C@@H]5CCC(=O)N5)c(CN)n4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,10.00797,-4.95467,COc1nc(-c2cccc(-c3cccc(-c4cn(CCCN5CCNC(=O)C5)c(CN)n4)c3Cl)c2Cl)cnc1CNCCO,10.0094,-3.4985,3.4334,0.5384615384615384
13,mol256,OC[C@@H]1O[C@H](Oc2ccc(-c3cccc(O)c3)c(O)c2Cl)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,7.290665,-2.267201,CC(=O)N(Cc1ccc(O[C@H]2O[C@@H](CO)[C@@H](O[C@H]3OC[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@@H]2O)c(Cl)c1)c1ccccc1,7.5203,-2.3553,4.3626,0.5
14,mol308,COc1nc(-c2cccc(-c3cccc(-c4cn(CCO)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.780318,-4.810196,COc1nc(-c2cccc(-c3cccc(-c4cnc(C)n4C)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.8461,-6.0901,3.7105,0.7142857142857143
15,mol348,COc1nc(CNCCCO)nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.562541,-4.650268,COc1nc(CNCCO)ccc1-c1cccc(-c2cccc(-c3cnc(CNC[C@H]4CCC(=O)N4)c(OC)n3)c2Cl)c1Cl,9.8764,-5.1442,3.7839,0.6904761904761905
