mol_id,Parent_SMILES,Parent_pIC50,Parent_Solubility,Optimized_SMILES,Optimized_pIC50,Optimized_Solubility,pIC50_Delta,Solubility_Delta,Tanimoto_Similarity,Score,Step
mol159,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,9.9269,-4.758,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NCCO)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCCO,9.6028,-3.4151,-0.3241,1.3429,0.6304,0.013736,25
mol282,COc1nc(-c2cccc(-c3cccc(-c4cn(CCNC[C@@H]5CCC(=O)N5)c(CN)n4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,10.008,-4.9547,COc1nc(-c2cccc(-c3cn(CCNC[C@@H]4CCC(=O)N4)c(CN)n3)c2Cl)cnc1CNCCO,9.3092,-2.28,-0.6988,2.6747,0.7865,0.058342,2
mol308,COc1nc(-c2cccc(-c3cccc(-c4cn(CCO)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.7803,-4.8102,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)n4C)c3Cl)c2Cl)cnc1CNCCO,9.7944,-4.0274,0.0141,0.7828,0.725,0.005044,17
mol201,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.6889,-4.6319,COc1nc(-c2cccc(-c3cccc(-c4cnc(C)[n+]([O-])c4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.5938,-4.2657,-0.0951,0.3662,0.6386,0.003466,22
mol89,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CCN1CCC1,9.7226,-4.4554,CCN(C)c1ncc(-c2cccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c2Cl)cn1,9.2436,-4.068,-0.479,0.3874,0.6582,0.004638,2
mol489,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,9.8726,-4.5701,COc1nc(-c2cccc(-c3cnc(CN4CCC(=O)NC4)c(OC)n3)c2Cl)cnc1CNCCO,9.1361,-3.1461,-0.7365,1.424,0.5357,0.017966,2
mol93,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,9.841,-4.664,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)c2Cl)cnc1CNCCO,9.3466,-3.2643,-0.4944,1.3997,0.7297,0.014667,2
mol202,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CCN1CCCC1,9.659,-4.4903,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCC(=O)N4)c(C)n3)c2Cl)cnc1CCO,9.1207,-3.5833,-0.5383,0.907,0.72,0.008827,2
mol129,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.8213,-4.2004,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3CO)c2CO)cnc1CN,8.4531,-3.29,-1.3682,0.9104,0.7143,0.008581,2
mol295,COc1nc(-c2cccc(-c3cccc(-c4cnc(OCCCN5CCCC5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.7465,-4.694,COc1nc(-c2cccc(-c3cnc(OCCCN)c(OC)n3)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.3114,-3.0943,-0.4351,1.5997,0.7808,0.018738,2
