Rank,mol_id,lead_smiles,lead_pic50,lead_solubility,optimized_smiles,optimized_pic50,optimized_solubility,sascore,tanimoto
1,mol129,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.821343,-4.2003913,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.8621,-4.2004,4.2519,1.0
3,mol489,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,9.872637,-4.570126,COc1nc(-c2cccc(-c3cccc(-c4ncc(CNC[C@@H]5CCC(=O)N5)nc4OC)c3Cl)c2Cl)cnc1CNCCN1CCOC1,9.8532,-4.6203,4.0439,0.8048780487804879
5,mol162,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.7258005,-4.510058,COc1nc(-c2cccc(-c3cccc(-n4cnc(N(C)C)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.8055,-4.5182,3.8453,0.8289473684210527
6,mol93,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,9.841015,-4.6639705,CNCc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)ccc1OC,9.8761,-6.3157,3.7139,0.654320987654321
7,mol159,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,9.926904,-4.7580166,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)ccc1CNCCO,9.8157,-4.4018,3.7363,0.6770833333333334
9,mol291,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1,9.394611,-4.2980866,COc1cc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1ccc(CNCC2COC(=O)N2)nc1,9.5699,-5.9925,4.0202,0.6333333333333333
10,mol201,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.688895,-4.6318645,COc1nc(-c2cccc(-c3cccc(-c4ccc(CNC[C@@H]5CCC(=O)N5)c(C)n4)c3Cl)c2Cl)cnc1-n1cnnn1,9.6656,-5.9413,3.8058,0.8205128205128205
11,mol282,COc1nc(-c2cccc(-c3cccc(-c4cn(CCNC[C@@H]5CCC(=O)N5)c(CN)n4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,10.00797,-4.95467,COc1nc(-c2cccc(-c3cccc(-c4cn(CCNC[C@@H]5CCC(=O)N5)c(CN)n4)c3Cl)c2Cl)cnc1CNCCO,9.8708,-3.6669,3.9317,0.797752808988764
13,mol256,OC[C@@H]1O[C@H](Oc2ccc(-c3cccc(O)c3)c(O)c2Cl)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,7.290665,-2.267201,Cc1cc(-c2ccccc2)c(Cl)cc1O[C@H]1O[C@H](CO)[C@@H](O)[C@@H](O[C@H]2OC[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,7.7808,-2.5822,4.255,0.5342465753424658
14,mol308,COc1nc(-c2cccc(-c3cccc(-c4cn(CCO)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.780318,-4.810196,COc1nc(-c2cccc(-c3cccc(-c4cnc(C)n4C)c3Cl)c2Cl)cnc1CNC[C@H]1CCC(=O)N1,9.8461,-6.0901,3.7105,0.7142857142857143
15,mol348,COc1nc(CNCCCO)nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.562541,-4.650268,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CCC(N)=O,9.7827,-5.3015,3.8503,0.6428571428571429
