Rank,generated_smiles,predicted_pic50,predicted_solubility,heavy_atoms,docking_score,tanimoto_similarity,matched_baseline_smiles,matched_baseline_original_pic50
1,CN(C(=O)C1CCC2C3CC(O)C4(F)C(C=O)C(O)CCC4(C)C3CCC12C)C1CC(O)CC1O,7.3842,-3.9169,35,-6.828,0.1297709923664122,Cc1c(-c2nc3cc(CN4CCC(C)(C(=O)O)C4)cc(C#N)c3o2)cccc1-c1cccc(-c2nc3c(s2)CN(C(=O)CNC2CC(O)C2)C3)c1C,5.52
2,CC(C)C(O)CCC(C)C1CC(O)C2C3C=C4C(=O)C(C)(C)C(O)CC4(C)C(O)C3(C)CCC12C,7.2272,-5.4632,35,-6.98,0.13541666666666666,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CC(C)(C)C(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(C)(C)C(=O)N1,10.1
3,CC(=O)OCC12CCC(C)C(=O)C1C1=CCC3C4(C)CCC(O)C(C)(CO)C4CCC3(C)C1(C)CC2,6.9638,-6.5233,36,-7.277,0.14285714285714285,COC(=O)C(CO)NCc1cnc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C5CC5)c(CNC(CO)C(=O)OC)cn4)c3C)c2C)cc1C1CC1,8.8
4,C=C(CO)C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(=O)C(O)C(C)(CO)C5CCC43C)C12,7.3011,-5.1622,36,-6.536,0.16,Cc1cc(CN2CCCC(O)C2C(=O)O)ccc1C#Cc1cccc(-c2ccccc2)c1C,5.67
5,CC12CCC(=NOCCCCN3CC(O)C(O)C(O)C3O)CC1CCC1C2CCC2(C(=O)O)CCC(=O)C12C,7.4184,-3.0694,39,-8.504,0.16153846153846155,COc1nc(-c2cccc(-c3cccc(-c4cc(C)c(CN5CC6CCCC6(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19
6,CCOCCOCCOCCOCCOCCOCCOCCOC1CC(CN)(CO)C(O)C1O,7.4592,-0.1974,35,-5.747,0.16216216216216217,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN,9.92
7,C=C(CO)C1CC(O)C2C(CC3C2(C)CCC2(C)C(C(C)CCC=C(C)C)CCC32C)C1(C)CCC(=O)OC,7.2195,-7.1103,39,-6.13,0.1652892561983471,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCCC5(C)CO)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,9.86
8,CC(=O)OCC1(C)CCCC23CC4CC5(C)C(C(C)CC=CC(C)(O)CO)CCC5(C)C(CCC12)C43C,7.0175,-7.1192,37,-6.219,0.16831683168316833,COc1cc(OC(C)=O)c(-c2c(OC(C)=O)cc(OC)c3c2C=CC(C)(CCC2=C(C)CCCC2(C)C)O3)c2c1OC(C)(CCC1=C(C)CCCC1(C)C)C=C2,4.43
9,CCCCCCCCCCCCCCCCCCCCCCCCS(=O)(=O)OCCNCC(=O)NCCO,7.0482,-5.5997,38,-7.096,0.18309859154929578,COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1C(=O)NCCO,6.49
10,COc1cc(OC)cc(-n2cc(CN=C3CC4C(=CCC5C4C(O)CC4(C)C5CCC4(O)C(=O)CO)C3=O)nn2)c1,7.198,-3.3321,41,-8.478,0.184,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCc1cn(C2OCC(O)C(O)C2O)nn1,6.69
11,COc1cc(-c2cc(F)cc(Cl)c2)c(Cl)cc1-n1c(=O)ccc2cc(S(=O)(=O)N=c3cco[nH]3)ccc21,6.6446,-6.4238,37,-8.338,0.1941747572815534,COc1cc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)ccc1CN1CCN(S(C)(=O)=O)CC1,6.98
12,N#Cc1ccc(=Nc2nc(CN(C3CC(O)C3)C3CCc4cc(Br)cnc43)nc3ccnn23)[nH]c1,7.451,-4.4228,35,-7.183,0.20149253731343283,CCN(C1CCN(c2cccc(-c3cccc(-c4nc5cc(CN6CCC(C(=O)O)C6)cc(C#N)c5o4)c3C)c2Cl)CC1)C1CC(O)C1,5.52
13,Cc1cc(O)ccc1CC(N)C(=O)NCCC(=O)NCc1nnc(SC2C(=O)CC(C)(C)CC2=O)nn1,6.9058,-2.6464,37,-9.489,0.20430107526881722,Cc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C)c(CNC(CO)CO)cn4)c3C)c2C)ncc1CNC(CO)CO,9.39
14,CCOC(=O)C1=C(COCCNC(=O)C(C)(N)CO)N=C(C)C(C(=O)OC)C1c1cccc(-n2ccnc2)c1,7.0423,-2.6203,39,-5.953,0.20535714285714285,CCOC(=O)C1(NCc2cnc(C(=O)Nc3cccc(-c4cccc(NC(=O)c5cc(C6CC6)c(CNC6(C(=O)OCC)CC6)cn5)c4C)c3C)cc2C2CC2)CC1,6.95
15,COc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCC(O)(CN(C)C)CC4)c(F)c32)cc1OC,6.8617,-4.2721,37,-7.381,0.20833333333333334,COc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(OC)c(CNCC5(O)CC5)cn4)c3C)c2C)ncc1CNCC1(O)CC1,10.49
