Rank,generated_smiles,predicted_pic50,predicted_solubility,heavy_atoms,docking_score,tanimoto_similarity,matched_baseline_smiles,matched_baseline_original_pic50,matched_baseline_predicted_solubility
1,COCC(=O)OC1CCC2(C)C3C(O)C(OC4CCCCO4)C4C(C(C)=O)CCC4(C)C3C(O)C(O)C2C1(C)COC(C)=O,7.611,-3.062,44,-5.773,0.1565217391304348,COCC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.89,-3.006960153579712
2,CC12CCC(=NOCCCCN3CC(O)C(O)C(O)C3O)CC1CCC1C2CCC2(C(=O)O)CCC(=O)C12C,7.4184,-3.0694,39,-8.493,0.16153846153846155,COc1nc(-c2cccc(-c3cccc(-c4cc(C)c(CN5CC6CCCC6(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19,-6.467184066772461
3,C=C(CO)C1CC(O)C2C(CC3C2(C)CCC2(C)C(C(C)CCC=C(C)C)CCC32C)C1(C)CCC(=O)OC,7.2195,-7.1103,39,-5.942,0.1652892561983471,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCCC5(C)CO)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,9.86,-6.088793754577637
4,CCCCCCCCCCCCCCCCCCCCCCCCS(=O)(=O)OCCNCC(=O)NCCO,7.0482,-5.5997,38,-6.36,0.18309859154929578,COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1C(=O)NCCO,6.49,-4.091113090515137
5,COc1cc(OC)cc(-n2cc(CN=C3CC4C(=CCC5C4C(O)CC4(C)C5CCC4(O)C(=O)CO)C3=O)nn2)c1,7.198,-3.3321,41,-8.532,0.184,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCc1cn(C2OCC(O)C(O)C2O)nn1,6.69,-3.5261902809143066
6,COc1cc(-c2[nH]c(=N)nc(COC3OC4C(CCC(C)C5CCC(C)C6CCC564)C(C)(C)C3=O)c2C)cc(OC)c1OC,6.1974,-7.2003,44,-7.795,0.20202020202020202,COc1cc(-c2cccc(-c3cccc(-c4ccc(CNCC5CCC(=O)N5)c(OC)c4)c3C)c2C)ccc1CNCC1CCC(=O)N1,6.86,-6.008810043334961
7,CCC1(C)C(OC2OC(CO)C(O)C(O)C2O)CCC2(C)C1CCC1(C)C2CC=C2C3CC(O)CCC3(C(=O)O)CCC21C,7.7608,-5.2772,44,-6.296,0.20353982300884957,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCOC1OC(CO)C(O)C(O)C1O,7.22,-2.6107046604156494
8,CCOC(=O)C1=C(COCCNC(=O)C(C)(N)CO)N=C(C)C(C(=O)OC)C1c1cccc(-n2ccnc2)c1,7.0423,-2.6203,39,-5.588,0.20535714285714285,CCOC(=O)C1(NCc2cnc(C(=O)Nc3cccc(-c4cccc(NC(=O)c5cc(C6CC6)c(CNC6(C(=O)OCC)CC6)cn5)c4C)c3C)cc2C2CC2)CC1,6.95,-6.239368438720703
9,CCCCCCCCCCCCCCCCOc1cc(C(=O)c2cn(CC)c3ccccc23)ccc1OCCC,6.7907,-6.8152,40,-8.241,0.2087912087912088,COc1cc(C(=O)N2CCC3C(c4ccccc4)=CC=CC32)ccc1CNCCO,6.88,-3.7477364540100098
10,CC(O)(CC(=O)O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC12C,7.927,-3.3675,42,-6.636,0.20952380952380953,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCOC1OC(CO)C(O)C(O)C1O,7.22,-2.6107046604156494
11,CC1CN(C(C)CO)C(=O)c2c(COCCCCCCO)cccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,7.3045,-5.2843,41,-7.889,0.21,Cc1c(-c2ccccc2)cccc1N1C(=O)c2ccc(CN(C)CCO)cc2C1=O,6.04,-4.3645453453063965
12,CC1(O)CCC(O)C1C=CC1(C)CCC(COC(O)c2ccc(C(=O)NCCO)c(OCCCO)c2)C1(C)C,7.6323,-3.5117,39,-8.623,0.21649484536082475,COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1C(=O)NCCO,6.49,-4.091113090515137
13,Cc1cc(N[SH]=Nc2cccc3[nH]ncc23)c(C)c(-c2cccc(Nc3ccc(CN(CC#N)CC#N)c(C)n3)c2Cl)n1,7.7348,-7.047,43,-10.315,0.22018348623853212,CC1COCCN1c1cc(N=S(C)(C)=O)nc(-c2cccc3[nH]ncc23)n1,7.51,-3.6902623176574707
14,CN(C)Cc1ccc(C(=O)N2CCC(N3CCC(C4(c5ccc(C(=O)NO)cc5)CCC(=O)N4)C4CCCCC4C3)CC2)nc1,8.1981,-4.2328,45,-7.918,0.2288135593220339,O=C(Nc1ccc(CN2CCC(C(=O)O)C2)cn1)c1cccc(-c2ccc3c(c2)OCCO3)c1Br,7.33,-5.044075012207031
15,Cc1cc(O)c(F)c(O)c1C(=O)OC1CCc2c(ccc(OC(=O)c3cccc(O)c3)c2OC(=O)c2ccccc2)C1,7.0306,-6.5459,42,-11.376,0.23,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2F)cccc1-c1ccccc1,6.96,-5.791195869445801
