smiles,mol_name,erg_sim,activity
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCC(C)(C)O)c4)n[nH]c2-3)CC1,CHEMBL374627,0.6497483418787332,1
O=C([C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccccc2)C1)N1CCNCC1,CHEMBL1809004,0.6399519051370287,1
O=C(Nc1cc(-c2ccccc2)ccc1O)c1ccc(CN2CCNCC2)cc1,CHEMBL3664098,0.6326241878012997,1
Cc1cccc2c(=O)[nH]c(-c3ccc(CN4CCNCC4)cc3)cc12,CHEMBL3764967,0.632584775754456,1
NC(=O)c1ccc2[nH]c(-c3ccc(C(c4ccc(Cl)cc4)N4CCNCC4)cc3)nc2c1,CHEMBL3961648,0.6312152294853964,1
O=c1[nH]c2ccc(-c3cn[nH]c3)cc2cc1-c1cc2cc(CN3CCOCC3)ccc2[nH]1,CHEMBL220601,0.6210977351560905,1
CC(=O)N1CCN(Cc2ccc3[nH]c(-c4cc5cc(-c6cn[nH]c6)ccc5[nH]c4=O)cc3c2)CC1,CHEMBL220653,0.6174563178983019,1
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCCO)c4)n[nH]c2-3)CC1,CHEMBL225639,0.6135171586992354,1
O=c1[nH]c2ccc(O)c(-c3ccc(CN4CCC(O)C4)c(F)c3)c2c2ccsc12,CHEMBL3667251,0.6107190119100131,1
CN1CCN(C(=O)[C@@H]2C=C3c4cccc5[nH]cc(c45)C[C@H]3N(C(=O)Nc3ccccc3)C2)CC1,CHEMBL1809006,0.6102252252252248,1
CC1(C)CN(c2ccc(-c3oc(-c4cccc5[nH]ccc45)nc3C(N)=O)cc2)CCN1,CHEMBL3956504,0.6100433727269106,1
CC1(C)CN(c2ccc(-c3oc(-c4c(F)ccc5[nH]ccc45)nc3C(N)=O)cc2)CCN1,CHEMBL3944825,0.6100433727269106,1
CC1(C)CN(c2ccc(-c3oc(-c4ccc(F)c5[nH]ccc45)nc3C(N)=O)cc2)CCN1,CHEMBL3932362,0.6100433727269106,1
O=C(NC1CNCC(c2ccccc2)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1,CHEMBL3651170,0.6094821915233531,1
c1cc2[nH]c(-c3n[nH]c4cc(-c5cn[nH]c5)ccc34)cc2cc1CN1CCOCC1,CHEMBL221428,0.6065202095223198,1
CN1CCC(NCc2ccc3c(c2)Cc2c(-c4ccc(F)cc4)n[nH]c2-3)CC1,CHEMBL550617,0.6059094809094805,1
O=C(c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1)N1CCNCC1,CHEMBL1817875,0.6011158437818706,1
COc1ccc(-c2ccc(NC(=O)c3cccc(C#N)c3)cc2)cc1CN1CCNCC1,CHEMBL535337,0.6002897201096797,1
COc1ccc(-c2cccc(NC(=O)c3cccc(C#N)c3)c2)cc1CN1CCNCC1,CHEMBL533903,0.6002897201096797,1
COc1ccc(-c2ccc(NC(=O)c3ccc(C#N)cc3)cc2)cc1CN1CCNCC1,CHEMBL547966,0.6002897201096797,1
O=C(NC1CNCCC1c1cccc(F)c1)c1ccc2[nH]nc(-c3ccncc3)c2c1,CHEMBL3651159,0.5998799963075786,1
O=C(N[C@H]1CNC[C@@H]1c1ccccc1)N1CCc2[nH]nc(-c3ccncc3)c2C1,CHEMBL4110435,0.5998799963075786,1
NC(=O)c1ccc2[nH]c(=O)c(-c3cc4cc(CN5CCCCC5)ccc4[nH]3)cc2c1,CHEMBL221448,0.5995535940749755,1
c1ccc(-c2ccc3c(-c4ccc(N5CCNCC5)cc4)n[nH]c3n2)cc1,CHEMBL1910895,0.5971064000803774,1
Cc1noc(C)c1-c1ccc2c(c1)C(CCCN1CCNCC1)(c1ccccc1)C(=O)N2,CHEMBL3916616,0.59674688057041,1
CN1CC(Cc2ccccc2)CC(NC(=O)c2ccc3[nH]nc(-c4ccncc4)c3c2)C1,CHEMBL3658449,0.5953242124023689,1
COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(C(=O)[C@H]4C[C@@H](O)CN4)CC3)cc12,CHEMBL3668507,0.5939858827369539,1
Cc1ccccc1C1CN(C)CC1NC(=O)N1CCc2[nH]nc(-c3ccc4c(c3)CCO4)c2C1,CHEMBL3911391,0.5936989807174684,1
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1cc(N2CCNCC2)ccc1C(F)(F)F,CHEMBL1650953,0.5932426322495784,1
O=C(NCCN1CCNCC1)c1cc2c3ccccc3[nH]c2c2cc(Br)ccc12,CHEMBL1910263,0.5932052253778589,1
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4ccc(O)cc4)n[nH]c2-3)CC1,CHEMBL413581,0.5926298924238953,1
N#Cc1cccc(C(=O)Nc2cccc(-c3cccc(CN4CCNCC4)c3)c2)c1,CHEMBL537802,0.591745283018868,1
O=C1/C(=C/c2c[nH]c3ccccc23)Oc2c(CN3CCNCC3)cccc21,CHEMBL2147762,0.5897071628248016,1
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4cc(-c5ccc(O)cc5)ccc34)cc2)CC1,CHEMBL4075033,0.5894152137015894,1
CN1CC(NC(=O)c2ccc3[nH]nc(-c4ccncc4)c3c2)CC(c2ccccc2)C1,CHEMBL3651175,0.586831616543299,1
c1cc(-c2ccc3c(-c4cc5cc(CN6CCOCC6)ccc5[nH]4)n[nH]c3c2)[nH]n1,CHEMBL221479,0.5860980063917206,1
O=C1Nc2ccc(F)c3c(S[C@H]4CCNC4)cc(-c4ccc[nH]4)c1c23,CHEMBL79498,0.5856417238309679,1
O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)C1CNCC(c2ccccc2)C1,CHEMBL3651169,0.5851156400274786,1
O=C(Nc1ccccc1N1CCNCC1)c1csc(-c2ccc3[nH]ccc3c2)n1,CHEMBL2037112,0.584178020838244,1
CC(C)NC(=N)c1ccc2nc(N3Cc4ccccc4C3=O)sc2c1,CHEMBL4224838,0.5841489481381479,1
CN1CCN(Cc2ccc3[nH]c(-c4[nH]nc5ccccc45)nc3c2)CC1,CHEMBL209265,0.584148154823593,1
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOCC(N)=O)c4)n[nH]c2-3)CC1,CHEMBL225192,0.5838150289017334,1
NC(=O)c1cc(-c2ccc(F)cc2)c2ccc(CN3CCNC(C4CC4)C3)cc2n1,CHEMBL3918313,0.5834227206240853,1
O=C(NC1CCCNC1)c1ccc2[nH]nc(-c3ccncc3)c2c1,CHEMBL3654555,0.5830682782018657,1
Cc1ccc2cc(-c3n[nH]c4ccc(NC5CCNC5)cc34)[nH]c2c1,CHEMBL1684654,0.5826111955316435,1
O=C(N[C@@H]1CCCN(Cc2ccccc2Cl)C1)N1CCc2[nH]nc(-c3ccncc3)c2C1,CHEMBL4115451,0.5821764675297662,1
Cc1cccc(C)c1CN1CCC[C@@H](NC(=O)N2CCc3[nH]nc(-c4ccncc4)c3C2)C1,CHEMBL4111090,0.5821764675297662,1
O=C(N[C@@H]1CCCN(Cc2ccccc2F)C1)N1CCc2[nH]nc(-c3ccncc3)c2C1,CHEMBL4114639,0.5821764675297662,1
Cc1ccsc1CN1CCC[C@@H](NC(=O)N2CCc3[nH]nc(-c4ccncc4)c3C2)C1,CHEMBL4108021,0.5821764675297662,1
Cc1ccc(CN2CCC[C@@H](NC(=O)N3CCc4[nH]nc(-c5ccncc5)c4C3)C2)s1,CHEMBL4108732,0.5821764675297662,1
