Rank,generated_smiles,predicted_pic50,predicted_solubility,docking_score,combined_score,tanimoto_similarity,matched_baseline_smiles,matched_baseline_original_pic50,matched_baseline_predicted_solubility
1,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCCO5)c(OC)n4)c3CO)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.821343,-4.2003913,-12.84,5.620951700000001,0.8513513513513513,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCCCO5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,9.59,-6.279957294464111
2,COc1nc(-c2cccc(-c3ccccc3Cl)c2Cl)cnc1CC[N@H+]1CC[C@H](O)C1,9.263986,-3.7240381,-12.01,5.5399479,0.5873015873015873,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(O)C1,9.51,-4.68280029296875
3,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCOCC1,9.872637,-4.570126,-12.89,5.302510999999999,0.8243243243243243,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCN5CCOC5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,9.59,-4.7827043533325195
4,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CC[NH+]1CCC1,9.722626,-4.455401,-13.16,5.267225,0.8153846153846154,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19,-5.173982620239258
5,COc1ncn(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)n1,9.7258005,-4.510058,-12.76,5.2157425,0.7794117647058824,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19,-5.173982620239258
6,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCn1ncnn1,9.841015,-4.6639705,-12.82,5.177044500000001,0.7681159420289855,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19,-5.173982620239258
7,COc1nc(-c2cccc(-c3cccc(-c4cn(CC(=O)NC[C@@H]5CCC(=O)N5)c(=O)[nH]4)c3Cl)c2Cl)cnc1CNCC[C@H]1CCCO1,9.926904,-4.7580166,-12.86,5.1688874,0.75,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCC1CCCO1,10.19,-6.092327117919922
8,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CC[NH+]1CCCC1,9.659044,-4.490335,-12.96,5.168709,0.8153846153846154,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19,-5.173982620239258
9,COc1nc(-c2cccc(-c3cnc(CNC[C@@H]4CCCO4)c(OC)n3)c2Cl)ccc1-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1,9.394611,-4.2980866,-12.18,5.096524399999999,0.8732394366197183,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCCCO5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,9.59,-6.279957294464111
10,COc1nc(-c2cccc(-c3cccc(-c4cnc(-n5cnnn5)c(OC)n4)c3Cl)c2Cl)cnc1CNC[C@@H]1CCC(=O)N1,9.688895,-4.6318645,-14.07,5.057030500000001,0.7794117647058824,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,10.19,-5.173982620239258
