epoch,mol_id,docking_score,smiles,canonical_smiles,pic50,solubility,combined_score,Rank,max_tanimoto
410,mol97,-12.21,CC(=O)N[C@@H](Cc1ccc(-c2ccc(C[N@@H+]3CCNC(=O)C3)cn2)cc1)C(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,CC(=O)N[C@@H](Cc1ccc(-c2ccc(C[N@@H+]3CCNC(=O)C3)cn2)cc1)C(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,7.597329,-1.4947226,6.1026064,1,0.24210526315789474
560,mol399,-12.55,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(F)c3)[C@H]2O)c1,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(F)c3)[C@H]2O)c1,7.350369,-2.4725955,4.8777735,2,0.19148936170212766
270,mol250,-12.33,Cc1nc(Nc2ncc(C(=O)Nc3ccc4nc(N)sc4c3)s2)cc(N2CC[NH+](CC(=O)Nc3cccc(S(N)(=O)=O)c3)CC2)n1,Cc1nc(Nc2ncc(C(=O)Nc3ccc4nc(N)sc4c3)s2)cc(N2CC[NH+](CC(=O)Nc3cccc(S(N)(=O)=O)c3)CC2)n1,7.6452303,-3.0813868,4.563843499999999,3,0.2066115702479339
390,mol110,-12.26,Cc1ccc(NC(=O)c2ccc(C[N@H+]3CC[N@H+](C)CC3)cc2)cc1Nc1nccc(-c2cncnc2)n1,Cc1ccc(NC(=O)c2ccc(C[N@H+]3CC[N@H+](C)CC3)cc2)cc1Nc1nccc(-c2cncnc2)n1,7.3171163,-2.7647402,4.5523761,4,0.21978021978021978
720,mol254,-12.04,Cc1cccc(C(=O)Nc2ccc(C[N@H+]3CC[N@H+](C)CC3)c(C(=O)Nc3ccc(C(N)N)cc3)c2)c1,Cc1cccc(C(=O)Nc2ccc(C[N@H+]3CC[N@H+](C)CC3)c(C(=O)Nc3ccc(C(N)N)cc3)c2)c1,6.780596,-2.3440943,4.4365017,5,0.22340425531914893
660,mol48,-12.24,Cc1ccc(NC(=O)c2ccc(C[N@H+]3CC[N@H+](C)CC3)cc2)cc1-c1ccc2nc(N)nc(N)c2n1,Cc1ccc(NC(=O)c2ccc(C[N@H+]3CC[N@H+](C)CC3)cc2)cc1-c1ccc2nc(N)nc(N)c2n1,7.221973,-2.8127782,4.4091948,6,0.21348314606741572
230,mol149,-12.93,CC(=O)N[C@H](Cc1cccc(-c2cccc(-c3nc4ccccc4o3)c2)c1)C(=O)N[C@@H]1CC[N@H+](CC(=O)N2CCOCC2)C1,CC(=O)N[C@H](Cc1cccc(-c2cccc(-c3nc4ccccc4o3)c2)c1)C(=O)N[C@@H]1CC[N@H+](CC(=O)N2CCOCC2)C1,7.297666,-2.8935504,4.404115600000001,7,0.3211009174311927
370,mol490,-12.86,CC(=O)N1CC[NH+](Cc2ccc(NC(=O)c3cccc(-c4n[nH]c([C@H]5CC[N@@H+](Cc6ccccc6C)C5)n4)c3)cc2)CC1,CC(=O)N1CC[NH+](Cc2ccc(NC(=O)c3cccc(-c4n[nH]c([C@H]5CC[N@@H+](Cc6ccccc6C)C5)n4)c3)cc2)CC1,6.724376,-2.3562002,4.3681758,8,0.2621359223300971
400,mol330,-12.15,CCc1c(C2CCN(C(=O)Nc3ccc(N4CCN(C(C)=O)CC4)cc3)CC2)sc2ncnn12,CCc1c(C2CCN(C(=O)Nc3ccc(N4CCN(C(C)=O)CC4)cc3)CC2)sc2ncnn12,7.118866,-2.797185,4.321681,9,0.23958333333333334
820,mol367,-12.56,Cc1ccc(C(=O)Nc2ccc(C[N@H+]3CC[N@@H+](CCO)CC3)cc2)cc1C(=O)Nc1cccc(C(=O)c2ccccc2)c1,Cc1ccc(C(=O)Nc2ccc(C[N@H+]3CC[N@@H+](CCO)CC3)cc2)cc1C(=O)Nc1cccc(C(=O)c2ccccc2)c1,6.8498354,-2.5384548,4.3113806,10,0.2857142857142857
