smiles,pic50,scaffold,n_measurements
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.52,c1cc2c(ncn3nnc(C4CCCCC4)c23)[nH]1,3
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.15,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,1
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,8.21,c1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,3
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,8.55,c1coc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,2
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.34,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,2
Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,8.0,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,2
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.64,c1cc2c(ncn3nnc(C4CCN(Cc5cncs5)CC4)c23)[nH]1,2
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)NC(C)C)cn2)C1,6.19,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1,1
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)N[C@@H](C)C(F)(F)F)cn2)C1,6.19,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1,1
C#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)CC)C1,8.24,c1nc(-c2cnn(C3CNC3)c2)c2cc[nH]c2n1,1
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,6.81,c1ccc(Nc2ccn(C3CCNCC3)n2)cc1,1
C#CCCOC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,5.86,c1ccc(Nc2ccn(C3CCNCC3)n2)cc1,1
C#CCN(C1CCOC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.26,c1nc(N2CC[C@@H](NC3CCOC3)C2)c2cc[nH]c2n1,3
C#CCN(c1ccc(C#N)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26,c1ccc(N[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,2
