smiles,pic50,scaffold,n_measurements
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.522878745280337,c1cc2c(ncn3nnc(C4CCCCC4)c23)[nH]1,3
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.1487416512809245,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,1
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,8.214670164989233,c1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,3
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,8.55284196865778,c1coc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,2
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.337242168318426,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,2
Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,8.0,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,2
Brc1nc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.1487416512809245,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)n1,1
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.638272163982407,c1cc2c(ncn3nnc(C4CCN(Cc5cncs5)CC4)c23)[nH]1,2
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)NC(C)C)cn2)C1,6.187086643357144,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1,1
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)N[C@@H](C)C(F)(F)F)cn2)C1,6.187086643357144,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1,1
C#CCC1(n2cc(-c3c[nH]nc3C)c(CO)n2)CN(c2cc(F)c(C(=O)N[C@@H](C)C(F)(F)F)cc2F)C1,6.0,c1ccc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cc1,1
C#CCC1(n2cc(-c3c[nH]nc3CC)cn2)CN(c2cnc(C(=O)N[C@@H](C)C(F)(F)F)cn2)C1,6.0,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1,1
C#CCC1(n2cc(-c3c[nH]nc3CO)cn2)CN(c2cc(F)c(C(=O)N[C@@H](C)C(F)(F)F)cc2F)C1,6.0,c1ccc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cc1,1
C#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)CC)C1,8.244125144327509,c1nc(-c2cnn(C3CNC3)c2)c2cc[nH]c2n1,1
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,6.8124792791635365,c1ccc(Nc2ccn(C3CCNCC3)n2)cc1,1
C#CCCOC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,5.858236769724212,c1ccc(Nc2ccn(C3CCNCC3)n2)cc1,1
C#CCN(C1CCOC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.259637310505756,c1nc(N2CC[C@@H](NC3CCOC3)C2)c2cc[nH]c2n1,3
C#CCN(c1c(F)cc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,c1ccc(N[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)cc1,3
C#CCN(c1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,c1ccc(N[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)cc1,3
C#CCN(c1ccc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.259637310505756,c1ccc(N[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)cc1,3
C#CCN(c1ccc(C#N)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,c1ccc(N[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,3
C#CCN(c1ccc(S(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.259637310505756,c1ccc(N[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,3
C#CCN1CCc2cc(Nc3ncc(C)c(-c4cnn(C(C)C)c4)n3)ccc2C1,6.417936637088291,c1cc(-c2cn[nH]c2)nc(Nc2ccc3c(c2)CCNC3)n1,1
C#CCNC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.356547323513812,c1cc2c(ncn3nnc(C4CCCCC4)c23)[nH]1,2
C#CCSc1nsc(SCC#C)c1C#N,5.547753425479563,c1cnsc1,1
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,4.844663962534939,O=c1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccccc2)cc[nH]1,1
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc(SC)n3)[nH]2)cc1,4.0,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncn3)[nH]2)cc1,1
