smiles,pic50,scaffold,n_measurements,logS
C#CC1(O)CN(Cc2ncc(-c3cccc(-c4cccc(-c5cnc(CN6CC(O)(C#C)C6)c(OC)n5)c4Cl)c3Cl)nc2OC)C1,9.23,c1cc(-c2cccc(-c3cnc(CN4CCC4)cn3)c2)cc(-c2cnc(CN3CCC3)cn2)c1,1,-5.110706329345703
C#CC1(O)CN(Cc2ncc(-c3cccc(-c4cccc(-c5cnc(CNCC6CCC(=O)N6)c(OC)n5)c4Cl)c3Cl)nc2OC)C1,9.33,O=C1CCC(CNCc2cnc(-c3cccc(-c4cccc(-c5cnc(CN6CCC6)cn5)c4)c3)cn2)N1,1,-5.221372604370117
C#CCCC(NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1)C(=O)O,8.09,c1cc(OCc2ccncc2)cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)c1,1,-7.284027576446533
C#CCOC(=O)NCCCCC(NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1)C(=O)O,8.43,c1cc(OCc2ccncc2)cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)c1,1,-7.077671527862549
C#CCOc1cc(OCc2cccc(-c3ccccc3)c2Br)c(Cl)cc1CNCCNC(C)=O,5.75,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-7.124444484710693
C=CCC(NC(=O)C(Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C(Cc1cncn1C(c1ccccc1)(c1ccccc1)c1ccccc1)NC(=O)C1CCCN1C(=O)C(CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)NC(=O)C(C)N(C)C(=O)C(Cc1ccc(OC(C)(C)C)cc1)NC(=O)CCl)C(=O)NC(Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)C(=O)N(C)C(CCCC)C(=O)N(C)C(CCCC)C(=O)NC(CC=C)C(=O)NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)NCC(N)=O,7.26,O=C(CCc1ccccc1)NCC(=O)NC(CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1cncn1C(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)NCC(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)NCC(=O)NCCSC(c1ccccc1)(c1ccccc1)c1ccccc1,1,-6.479799270629883
C=CCOc1cc(OCc2cccc(-c3ccccc3)c2Br)c(Cl)cc1CNCCNC(C)=O,6.9,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-7.115883827209473
CC(=CC#N)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,4.57,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.665879726409912
CC(=CC(=O)O)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,8.63,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.241157531738281
CC(=O)COc1ccc2c(c1)C(=O)N(c1cccc(-c3ccccc3)c1C#N)C2=O,6.6,O=C1c2ccccc2C(=O)N1c1cccc(-c2ccccc2)c1,1,-6.913961887359619
CC(=O)COc1ccc2c(c1)C(=O)N(c1cccc(-c3ccccc3)c1C)C2=O,5.97,O=C1c2ccccc2C(=O)N1c1cccc(-c2ccccc2)c1,1,-6.144952297210693
CC(=O)N1CCC(S(C)(=O)=Nc2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.82,O=[SH](=Nc1cc(N2CCOCC2)nc(-c2ccnc3[nH]ccc23)n1)C1CCNCC1,1,-3.00317645072937
CC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)C1,7.72,c1cc(-c2nc(C3CCNC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-2.4264845848083496
CC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.62,c1cc(-c2nc(C3CCNCC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-2.3196234703063965
CC(=O)N1CCCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)C1,8.0,c1cc(-c2nc(C3CCCNC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-2.6712005138397217
CC(=O)N1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)C1=O,6.23,O=C1NCCN1Cc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)cc1OCc1ccccc1,1,-6.907486438751221
CC(=O)N1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,6.39,c1ccc(COc2cc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)ccc2CN2CCNCC2)cc1,1,-6.263123989105225
CC(=O)N1CCN(Cc2ccc(O)c(C(=O)C=Cc3cccc(-c4ccccc4)c3C)c2)CC1,4.84,O=C(C=Cc1cccc(-c2ccccc2)c1)c1cccc(CN2CCNCC2)c1,1,-4.7835564613342285
CC(=O)N1CCS(=O)(=Nc2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,8.4,O=S1(=Nc2cc(N3CCOCC3)nc(-c3ccnc4[nH]ccc34)n2)CCNCC1,1,-2.4558722972869873
CC(=O)NC1CCN(CCCOc2cccc(-c3cccc4c3CCC4Oc3cc(OCc4cncc(C#N)c4)c(CN4CCCCC4C(=O)O)cc3Cl)c2Cl)CC1,9.7,c1cncc(COc2cc(OC3CCc4c(-c5cccc(OCCCN6CCCCC6)c5)cccc43)ccc2CN2CCCCC2)c1,1,-6.497973918914795
CC(=O)NC1CCN(CCCOc2cccc(-c3cccc4c3CCC4Oc3cc(OCc4cncc(C#N)c4)c(CNC(C)(CO)C(=O)O)cc3Cl)c2Cl)CC1,8.47,c1cncc(COc2cccc(OC3CCc4c(-c5cccc(OCCCN6CCCCC6)c5)cccc43)c2)c1,1,-6.586958885192871
CC(=O)NC1CCN(CCCOc2cccc(-c3cccc4c3CCC4Oc3cc(OCc4cncc(C#N)c4)c(CNC(CCO)C(=O)O)cc3Cl)c2Cl)CC1,8.54,c1cncc(COc2cccc(OC3CCc4c(-c5cccc(OCCCN6CCCCC6)c5)cccc43)c2)c1,1,-6.356744289398193
CC(=O)NCCCNc1ncnc(OCc2cccc(-c3ccccc3)c2C)n1,5.67,c1ccc(-c2cccc(COc3ncncn3)c2)cc1,1,-4.653572082519531
CC(=O)NCCN(Cc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cccc(C#N)c1)C(=O)OCCF,5.77,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.158864974975586
