chembl_id,stereo_id,conf_id,smiles,source_file,canon_smiles,pred_pIC50
CHEMBL3769598,0,6,Cc1cc(C[C@@H](NC(=O)N2CCN(c3ccc(F)cc3)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,t1_f5_p0,Cc1cc(C[C@@H](NC(=O)N2CCN(c3ccc(F)cc3)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,7.82590913772583
CHEMBL3662883,0,0,C[C@H]1CN2CCC[C@H]2CN1C(=O)N1Cc2c(NC(=O)c3ccc4cnccc4n3)n[nH]c2C1(C)C,t0_f5_p0,C[C@H]1CN2CCC[C@H]2CN1C(=O)N1Cc2c(NC(=O)c3ccc4cnccc4n3)n[nH]c2C1(C)C,7.820375442504883
CHEMBL3680788,0,0,O=C(NCc1cccc(C(=O)Nc2nc3c(s2)C[C@@H](N2CCOCC2)CC3)c1)c1cccc(-c2cn[nH]c2)c1,t0_f5_p0,O=C(NCc1cccc(C(=O)Nc2nc3c(s2)C[C@@H](N2CCOCC2)CC3)c1)c1cccc(-c2cn[nH]c2)c1,7.809505939483643
CHEMBL549696,1,44,O=C(CN1CC(NC(=O)c2ccc(Cl)s2)C(C2CC2)C1)Nc1ccc(-n2ccccc2=O)cc1F,t0_f5_p1,O=C(CN1CC(NC(=O)c2ccc(Cl)s2)C(C2CC2)C1)Nc1ccc(-n2ccccc2=O)cc1F,7.796805381774902
CHEMBL3770044,0,0,Cc1cc(C[C@@H](NC(=O)N2CCN(c3ccccc3F)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,t1_f5_p0,Cc1cc(C[C@@H](NC(=O)N2CCN(c3ccccc3F)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,7.794708251953125
CHEMBL590791,0,7,CNC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,t0_f5_p1,CNC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,7.744989395141602
CHEMBL332712,0,33,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCCCCC4)s3)n[nH]c1-2)NN1CCOCC1,t0_f5_p6,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCCCCC4)s3)n[nH]c1-2)NN1CCOCC1,7.72809362411499
CHEMBL116331,0,0,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCCCC4)s3)n[nH]c1-2)NN1CCOCC1,t1_f5_p7,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCCCC4)s3)n[nH]c1-2)NN1CCOCC1,7.714804649353027
CHEMBL210243,0,0,CC(=O)N1CCN(C(=O)c2cc(Sc3cnc(NC(=O)c4ccc(N(C)C)cc4)s3)ccc2N)CC1,t0_f5_p0,CC(=O)N1CCN(C(=O)c2cc(Sc3cnc(NC(=O)c4ccc(N(C)C)cc4)s3)ccc2N)CC1,7.714252948760986
CHEMBL3662882,0,0,C[C@H]1CN2CCC[C@H]2CN1C(=O)N1Cc2c(NC(=O)c3cc4ccccc4cn3)n[nH]c2C1(C)C,t0_f5_p0,C[C@H]1CN2CCC[C@H]2CN1C(=O)N1Cc2c(NC(=O)c3cc4ccccc4cn3)n[nH]c2C1(C)C,7.699436664581299
CHEMBL3680792,0,0,N#Cc1ccc2cc(C(=O)NCc3cccc(C(=O)Nc4nc5c(s4)C[C@@H](N4CCOCC4)CC5)c3)[nH]c2c1,t0_f5_p0,N#Cc1ccc2cc(C(=O)NCc3cccc(C(=O)Nc4nc5c(s4)C[C@@H](N4CCOCC4)CC5)c3)[nH]c2c1,7.696555137634277
CHEMBL3662885,0,0,C[C@H]1CN2CCC[C@H]2CN1C(=O)N1Cc2c(NC(=O)c3cnc4ccccc4n3)n[nH]c2C1(C)C,t0_f5_p0,C[C@H]1CN2CCC[C@H]2CN1C(=O)N1Cc2c(NC(=O)c3cnc4ccccc4n3)n[nH]c2C1(C)C,7.695227146148682
CHEMBL114053,0,6,CCN1CCCN(C(=O)c2ccc(-c3[nH]nc4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)s2)CC1,t0_f5_p3,CCN1CCCN(C(=O)c2ccc(-c3[nH]nc4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)s2)CC1,7.693553924560547
CHEMBL4229046,0,7,CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)c(CC(=O)N3CCC4CCC(C3)N4C)c2)NC(=O)N1,t0_f5_p0,CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)c(CC(=O)N3CCC4CCC(C3)N4C)c2)NC(=O)N1,7.675156116485596
CHEMBL2059853,0,1,O=C(N[C@H](Cc1ccc2[nH]c(=O)oc2c1)C(=O)N1CCC(N2CCCCC2)CC1)N1CCC(N2Cc3ccccc3NC2=O)CC1,t0_f5_p1,O=C(N[C@H](Cc1ccc2[nH]c(=O)oc2c1)C(=O)N1CCC(N2CCCCC2)CC1)N1CCC(N2Cc3ccccc3NC2=O)CC1,7.667331218719482
CHEMBL2059877,0,0,O=C1Cc2cc(C[C@@H](NC(=O)N3CCC(N4Cc5ccccc5NC4=O)CC3)C(=O)N3CCC(N4CCCCC4)CC3)ccc2N1,t0_f5_p1,O=C1Cc2cc(C[C@@H](NC(=O)N3CCC(N4Cc5ccccc5NC4=O)CC3)C(=O)N3CCC(N4CCCCC4)CC3)ccc2N1,7.661291599273682
CHEMBL44390,0,3,O=C(C[C@H]1S[C@H](c2ccc(Cl)cc2Cl)N(CC(=O)NCCCN2CCOCC2)C1=O)NCc1ccc2[nH]ccc2c1,t0_f5_p1,O=C(C[C@H]1S[C@H](c2ccc(Cl)cc2Cl)N(CC(=O)NCCCN2CCOCC2)C1=O)NCc1ccc2[nH]ccc2c1,7.634885311126709
CHEMBL3885366,0,0,CN1CCN(Cc2ccc3c(c2)nc(NC(=O)c2ccc(-c4cn[nH]c4)s2)n3CC(C)(C)O)CC1,t0_f5_p0,CN1CCN(Cc2ccc3c(c2)nc(NC(=O)c2ccc(-c4cn[nH]c4)s2)n3CC(C)(C)O)CC1,7.6284499168396
CHEMBL3911835,0,5,CN1C(=N)N[C@](C)(c2sc(-c3nnc(C4Cc5ccccc5C4)o3)cc2Cl)CS1(=O)=O,t1_f5_p3,CN1C(=N)N[C@](C)(c2sc(-c3nnc(C4Cc5ccccc5C4)o3)cc2Cl)CS1(=O)=O,7.620184898376465
CHEMBL3936241,0,0,O=C(Nc1nc2cc(Cl)cc(CN3CCOCC3)c2[nH]1)c1ccc2cc3n(c2c1)CCCNC3=O,t0_f5_p0,O=C(Nc1nc2cc(Cl)cc(CN3CCOCC3)c2[nH]1)c1ccc2cc3n(c2c1)CCCNC3=O,7.615189552307129
CHEMBL448410,0,9,CCC[C@H]1C(=O)N([C@@H](Cc2ccc3ccccc3c2)C(=O)NC)CCN1C(=O)[C@@H](Cc1ccc(F)cc1)NC(=O)[C@H]1CCCCN1,t0_f5_p1,CCC[C@H]1C(=O)N([C@@H](Cc2ccc3ccccc3c2)C(=O)NC)CCN1C(=O)[C@@H](Cc1ccc(F)cc1)NC(=O)[C@H]1CCCCN1,7.613035678863525
CHEMBL1822554,0,42,CC(C(=O)N/N=C1\C(=O)Nc2ccc(C(=O)N3CCC(NC4CC4)CC3)c(Cl)c21)c1ccc(F)cc1,t0_f5_p1,CC(C(=O)N/N=C1\C(=O)Nc2ccc(C(=O)N3CCC(NC4CC4)CC3)c(Cl)c21)c1ccc(F)cc1,7.598795413970947
CHEMBL3925887,0,0,CN1CCC(Cn2c(NC(=O)c3ccc4cc5n(c4c3)CCCNC5=O)nc3ccccc32)CC1,t0_f5_p0,CN1CCC(Cn2c(NC(=O)c3ccc4cc5n(c4c3)CCCNC5=O)nc3ccccc32)CC1,7.596932888031006
CHEMBL117939,0,39,CCN1CCN(C(=O)c2ccc(-c3[nH]nc4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)s2)CC1,t0_f5_p3,CCN1CCN(C(=O)c2ccc(-c3[nH]nc4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)s2)CC1,7.591813564300537
CHEMBL4095389,0,11,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(C2CCC(F)(F)CC2)C1,t0_f5_p4,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(C2CCC(F)(F)CC2)C1,7.589221954345703
