smiles,pic50,scaffold,n_measurements,logS,substructure_match,generalized_match
C#CCCC(NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1)C(=O)O,8.09,c1cc(OCc2ccncc2)cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)c1,1,-7.284027576446533,0,0
C#CCOC(=O)NCCCCC(NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1)C(=O)O,8.43,c1cc(OCc2ccncc2)cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)c1,1,-7.077671527862549,0,0
C=CCC(NC(=O)C(Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C(Cc1cncn1C(c1ccccc1)(c1ccccc1)c1ccccc1)NC(=O)C1CCCN1C(=O)C(CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)NC(=O)C(C)N(C)C(=O)C(Cc1ccc(OC(C)(C)C)cc1)NC(=O)CCl)C(=O)NC(Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)C(=O)N(C)C(CCCC)C(=O)N(C)C(CCCC)C(=O)NC(CC=C)C(=O)NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)NCC(N)=O,7.26,O=C(CCc1ccccc1)NCC(=O)NC(CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1cncn1C(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)NCC(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)NCC(=O)NCCSC(c1ccccc1)(c1ccccc1)c1ccccc1,1,-6.479799270629883,0,0
C=CCOc1cc(OCc2cccc(-c3ccccc3)c2Br)c(Cl)cc1CNCCNC(C)=O,6.9,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-7.115883827209473,0,0
CC(=CC(=O)O)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,8.63,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.241157531738281,0,0
CC(=O)COc1ccc2c(c1)C(=O)N(c1cccc(-c3ccccc3)c1C#N)C2=O,6.6,O=C1c2ccccc2C(=O)N1c1cccc(-c2ccccc2)c1,1,-6.913961887359619,0,0
CC(=O)N1CCC(S(C)(=O)=Nc2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.82,O=[SH](=Nc1cc(N2CCOCC2)nc(-c2ccnc3[nH]ccc23)n1)C1CCNCC1,1,-3.00317645072937,0,0
CC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)C1,7.72,c1cc(-c2nc(C3CCNC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-2.4264845848083496,0,0
CC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.62,c1cc(-c2nc(C3CCNCC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-2.3196234703063965,0,0
CC(=O)N1CCCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)C1,8.0,c1cc(-c2nc(C3CCCNC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-2.6712005138397217,0,0
CC(=O)N1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)C1=O,6.23,O=C1NCCN1Cc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)cc1OCc1ccccc1,1,-6.907486438751221,0,0
CC(=O)N1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,6.39,c1ccc(COc2cc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)ccc2CN2CCNCC2)cc1,1,-6.263123989105225,0,0
CC(=O)N1CCS(=O)(=Nc2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,8.4,O=S1(=Nc2cc(N3CCOCC3)nc(-c3ccnc4[nH]ccc34)n2)CCNCC1,1,-2.4558722972869873,0,0
CC(=O)NCCNC(=O)C1CCCN1Cc1ccc(OCc2cccc(-c3ccccc3)c2C)c([N+](=O)[O-])c1,7.25,c1ccc(-c2cccc(COc3ccc(CN4CCCC4)cc3)c2)cc1,1,-5.983314037322998,0,0
CC(=O)NCCNCc1cc(Br)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)cc1OCc1cccc(C#N)c1,8.15,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.387272357940674,0,0
CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1,6.43,O=C(Nc1cccc(-c2ccc3c(c2)OCCO3)c1)c1cccn2cnnc12,1,-4.359755039215088,0,0
CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1,6.25,O=C(Nc1cccc(-c2ccc3c(c2)OCCO3)c1)c1cccn2cnnc12,1,-4.331240177154541,0,0
CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,8.6,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.9337849617004395,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cccc(C#N)c1,7.96,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.300068378448486,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1,8.04,c1cc(OCc2ccncc2)cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)c1,1,-6.817132472991943,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cocn1,7.3,c1cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)cc(OCc2cocn2)c1,1,-6.652401447296143,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCC1CC1,6.0,c1ccc(-c2cccc(COc3cccc(OCC4CC4)c3)c2)cc1,1,-7.459295749664307,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,6.89,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1,-7.248516082763672,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1,7.21,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.76203727722168,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,6.26,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.299902439117432,0,0
CC(=O)NCCNCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cncc(C#N)c1,7.02,c1cncc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)c1,1,-6.725401878356934,0,0
