smiles,pic50,pic50_mean,pic50_max,pic50_min,n_measurements,pic50_spread,high_conflict
COC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.97,10.97,10.97,10.97,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)C(C(=O)N3CC(N(C)C)C3)C4)n[nH]c2c1,10.89,10.89,10.89,10.89,2,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)C(C(=O)N3CC(C)(N(C)C)C3)C4)n[nH]c2c1,10.89,10.89,10.89,10.89,2,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(C(=O)N3CC(C)(N(C)C)C3)C4)n[nH]c2c1,10.89,10.89,10.89,10.89,2,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(N(C)C)C1,10.8,10.8,10.8,10.8,2,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(C(=O)N3CC(C)(N(C)C)C3)C4)n[nH]c2c1,10.8,10.800000000000002,10.8,10.8,3,0.0,False
CC1CN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)CC1CO,10.78,10.78,10.78,10.78,1,0.0,False
CN1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(NC3CCCN(S(=O)(=O)CCC(C)(C)C)C3)n2)CC1,10.76,10.76,10.76,10.76,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(C(=O)N3CC(N(C)C)C3)C4)n[nH]c2c1,10.75,10.75,10.8,10.7,8,0.10000000000000142,False
CS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.75,10.75,10.97,10.53,2,0.4400000000000013,False
CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.72,10.72,10.72,10.72,1,0.0,False
CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N)ncc2-c2cnc3[nH]ccc3n2)C1,10.71,10.71,10.71,10.71,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(C(=O)N3CCC(N(C)C)C3)C4)n[nH]c2c1,10.7,10.7,10.7,10.7,5,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)C(C(=O)N3CC(N(C)C)C3)C4)n[nH]c2c1,10.7,10.699999999999998,10.7,10.7,3,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C)C(C(=O)N3CCN(CCO)CC3C)C4)n[nH]c2c1,10.7,10.7,10.7,10.7,1,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CC2CC1CN2C,10.7,10.719999999999999,10.8,10.7,5,0.10000000000000142,False
CS(=O)(=O)N1CCC(O)C(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.7,10.7,10.7,10.7,1,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(C)(N(C)C)C1,10.7,10.639999999999999,10.7,10.52,3,0.17999999999999972,False
CS(=O)(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.68,10.68,10.68,10.68,1,0.0,False
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.64,10.64,10.64,10.64,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(C(=O)N3CCCN(C)CC3)C4)n[nH]c2c1,10.6,10.6,10.6,10.6,1,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)C(C(=O)N3CC(C)(N(C)C)C3)C4)n[nH]c2c1,10.6,10.6,10.6,10.6,3,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5ccc(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(N(C)C)C1,10.6,10.6,10.6,10.6,3,0.0,False
CSc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(=O)(=O)CCC(C)(C)C)C2)n1,10.53,10.53,10.53,10.53,1,0.0,False
COc1cccc(F)c1CNc1nc(Nc2cnn(CCO)c2)ncc1C(N)=O,10.52,10.52,10.52,10.52,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)C(C(=O)N3CC(N5CCCC5)C3)C4)n[nH]c2c1,10.52,10.52,10.52,10.52,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)C(C(=O)N3CC(N5CCCCC5)C3)C4)n[nH]c2c1,10.52,10.52,10.52,10.52,2,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1CN1CCC(C(C)C)C1,10.52,10.52,10.52,10.52,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CNC(C(=O)N3CCN(C(C)C)CC3)C4)n[nH]c2c1,10.52,10.52,10.52,10.52,3,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CNC(C(=O)N3CCN(C)CC3)C4)n[nH]c2c1,10.52,10.52,10.52,10.52,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(CN3CCC(N(C)C)C3)C4)n[nH]c2c1,10.52,10.52,10.52,10.52,2,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CCC(N(C)C)C1,10.52,10.52,10.52,10.52,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C)C(C(=O)N3CCN(C)CC3C)C4)n[nH]c2c1,10.49,10.49,10.49,10.49,1,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CC(C(=O)N3CC(N(C)C)C3)N(C(C)C)C4)n[nH]c2c1,10.49,10.49,10.49,10.49,4,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C)C(C(=O)N3CCN(CCO)CC3C)C4)n[nH]c2c1,10.49,10.49,10.49,10.49,2,0.0,False
