molID,SMILES,MW,pIC50,Solubility,Docking_Score,TYR56,ASP122,composite,categories
0,CNS(=O)(=O)N(CCOC)C1CCC(N(C)C)C(c2ncc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)cc2OC)C1,713.87,7.9406,-4.1289,-13.2799997,3,0,0.7320185009156966,Composite
1,COc1nc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)ncc1CN1CCC(O)(C(O)CF)CC1,598.64,7.8724,-4.2595,-13.3599997,3,0,0.7078627153767888,Composite
2,CC(c1cnc(C#N)cc1OC1CCNCC1)N1CCC1(CO)Cc1ccc2[nH]c(-c3n[nH]c4cc(-c5[nH]nnc5N)ccc34)cc2c1,643.76,7.8684,-4.2101,-11.4200001,3,1,0.6657973187414531,"ASP, Composite"
3,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5ncnn5CC(O)C5CCNCC5)ccc4[nH]3)n[nH]c2c1,509.58,7.3422,-3.8586,-13.0699997,3,0,0.6550181968873036,Composite
4,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(Nc5nccc(C(=O)N6CCC(N)CC6)n5)ccc4[nH]3)n[nH]c2c1,534.59,7.4215,-4.2304,-14.2700005,3,0,0.6562951289576138,Composite
11,CN1CCN2CC(O)(C(O)Cn3cnc(-c4ccc5[nH]c(-c6n[nH]c7cc(-c8[nH]nnc8N)ccc67)cc5c4)c3)CC2C1,579.67,7.7322,-3.0237,-14.75,2,0,0.6545438479373596,Solubility
12,Nc1nc(OCC(O)CN2CCN(CCO)CC2)cc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)n1,610.68,7.9647,-3.2099,-13.3299999,2,0,0.6391929337463194,Solubility
18,Cc1ccc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)cc1CN1CCN(C)CC1=O,531.62,7.0178,-4.626,-15.2799997,3,0,,Docking
20,CN(CC(O)(CN)Cc1cccc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)c1)C(=O)C1CCCN1,604.72,7.5584,-3.284,-15.0100002,2,0,0.6023794808193981,Solubility
37,CN(CC1CCN(c2ncc(-c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)c(N)n2)CCN1)S(C)(=O)=O,627.74,7.7138,-3.8638,-14.4399996,2,1,0.6167744283968167,ASP
38,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5cc(CN6CCN(CCO)CC6)ccc5S(=O)(=O)CCO)ccc4[nH]3)n[nH]c2c1,641.76,7.3078,-3.3373,-13.1000004,2,0,0.5076672583070334,Solubility
44,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5ccc(C6(O)CN(C(=O)N7CCC7C(=O)N7CCCC7)C6)cc5)ccc4[nH]3)n[nH]c2c1,642.72,7.7223,-4.1745,-16.9400005,2,0,,Docking
48,CC(C)N1CCN(C(=O)C(NC(=O)NC2CCN(c3ccc4[nH]c(-c5n[nH]c6cc(-c7[nH]nnc7N)ccc56)cc4c3)CC2)c2ccccc2)CC1,700.85,7.6627,-3.9094,-13.9099998,2,1,0.5297986945554383,ASP
50,CN(CCO)S(=O)(=O)c1ccc(N)cc1-c1ccc2[nH]c(-c3n[nH]c4cc(-c5[nH]nnc5N)ccc34)cc2c1,543.61,7.0835,-3.312,-13.7399998,2,0,0.48773939267709,Solubility
74,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5cccc(N6CCNCC6CN6CCNC6)n5)ccc4[nH]3)n[nH]c2c1,560.67,7.353,-3.9724,-15.5100002,2,0,,Docking
76,CNC1CCN(CCc2cc(C(=O)N3CC(O)C3)ccc2-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)C1,616.73,7.4468,-4.0401,-15.1300001,2,0,,Docking
79,CC(Nc1ccc2[nH]c(-c3n[nH]c4cc(-c5[nH]nnc5N)ccc34)cc2c1)c1ccc(OCCCCN2CCNCC2)cn1,591.72,7.3846,-3.7405,-12.3400002,2,1,0.3739514460184513,ASP
95,CC(Nc1cncc(-c2ccc3[nH]c(-c4n[nH]c5cc(-c6[nH]nnc6N)ccc45)cc3c2)c1)N1CCOC1CN1CCCC1,589.71,7.6736,-4.2763,-14.0200005,2,1,0.3139084165166262,ASP
99,Nc1nn[nH]c1-c1ccc2c(-c3cc4cc(-c5cnc(N6CCNCC6)c(NC(=O)C6OCCO6)c5)ccc4[nH]3)n[nH]c2c1,591.64,7.5424,-4.2591,-15.1899996,2,0,,Docking
