rank,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,composite
1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6[nH]nc7c6ncn7C6CC(O)C(C(O)CO)C6O)cc5C4)[nH]c3c2)n1,7.6755,-3.7726,-14.6099997,3.0,0.7822125909541351
2,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cn(C7OC(C(=O)NCC(O)CO)C(O)C7O)nn6)cc5C4)[nH]c3c2)n1,7.4102,-3.3903,-13.4499998,3.0,0.7795083540109341
3,CNCC(C)(O)c1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n(C)n1,7.8661,-3.955,-13.3500004,3.0,0.7766979987903642
4,NC(=O)CNC(=O)N1CCC(Nc2nccc(-c3ccc4nc(C5COc6ccc(-c7ncc[nH]c7=O)cc6C5)[nH]c4c3)n2)C1,7.6309,-3.7523,-13.5799999,3.0,0.7737055171107673
5,CN1CCC(O)(c2nc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c[nH]2)CC1,7.7655,-4.249,-14.5100002,3.0,0.7582066396898703
6,CC(=O)N1CCC(Nc2cnc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N7CCOCC7)n6)cc5[nH]3)CO4)cn2)CC1,7.7234,-3.9464,-11.7700005,3.0,0.7568010675612572
7,CN1CCN(CC(O)CNc2nccc(-c3ccc4nc(C5COc6ccc(-c7ncc[nH]7)cc6C5)[nH]c4c3)n2)CC1,7.5131,-3.8386,-12.5200005,3.0,0.7529555609868708
8,CC(=O)N1CCC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,7.4346,-3.9334,-14.0,3.0,0.7506301346367622
9,CC(=O)N1CCN(Cc2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)on2)CC1,7.3556,-3.9203,-13.6700001,3.0,0.7435889569781012
10,CC(=O)N1CCC(NC(=O)c2cc(Nc3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c[nH]2)CC1,7.5748,-4.1415,-13.3000002,3.0,0.743362100881908
11,CC(=O)N1CCN(c2ncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CC1,7.5634,-4.1819,-13.8199997,3.0,0.7432820126709886
12,CC(C)N1CC(CN(C)c2ncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)N2CC2C1,7.7345,-4.2972,-12.9099998,3.0,0.7427771931845315
13,CC(=O)N1CCCC(Oc2cnc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,7.6903,-4.3213,-13.5100002,3.0,0.7418308916365293
14,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6nnn(CC(=O)N7CCC(n8cncn8)CC7)n6)cc5C4)[nH]c3c2)n1,7.3374,-3.9979,-14.25,3.0,0.7410529935006431
