rank,molID,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,ASP122_HBond,ASP122_SaltBridge,ASP122_Anionic,ASP122_CationPi,ASP122_PiCation,ASP122_Interactions,ASP122_AllContacts,ASP122_Residues,pose_sdf,composite
1,0,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6[nH]nc7c6ncn7C6CC(O)C(C(O)CO)C6O)cc5C4)[nH]c3c2)n1,7.6755,-3.7726,-14.6099997,3,1,0,0,0,0,1,5,ASP122.A; ASP122.B,top10_hits_docking/mol0_out.sdf,0.7303786962255793
2,1,CNCC(C)(O)c1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n(C)n1,7.8661,-3.955,-13.3500004,3,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top10_hits_docking/mol1_out.sdf,0.7095986500528547
3,2,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cn(C7OC(C(=O)NCC(O)CO)C(O)C7O)nn6)cc5C4)[nH]c3c2)n1,7.4102,-3.3903,-13.4499998,3,0,0,0,0,0,0,9,ASP122.A; ASP122.B,top10_hits_docking/mol2_out.sdf,0.7095839022677365
4,3,NC(=O)CNC(=O)N1CCC(Nc2nccc(-c3ccc4nc(C5COc6ccc(-c7ncc[nH]c7=O)cc6C5)[nH]c4c3)n2)C1,7.6309,-3.7523,-13.5799999,3,1,0,0,0,0,1,10,ASP122.A; ASP122.B,top10_hits_docking/mol3_out.sdf,0.7001149134808725
5,4,CN1CCC(O)(c2nc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c[nH]2)CC1,7.7655,-4.249,-14.5100002,3,0,0,0,0,0,0,6,ASP122.A; ASP122.B,top10_hits_docking/mol4_out.sdf,0.6718947432880096
6,5,CC(=O)N1CCC(Nc2cnc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N7CCOCC7)n6)cc5[nH]3)CO4)cn2)CC1,7.7234,-3.9464,-11.7700005,3,0,0,0,0,0,0,4,ASP122.A; ASP122.B,top10_hits_docking/mol5_out.sdf,0.6450252968904507
7,6,CC(=O)N1CCC(n2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)C1,7.4346,-3.9334,-14.0,3,0,0,0,0,0,0,4,ASP122.A; ASP122.B,top10_hits_docking/mol6_out.sdf,0.64335004113224
8,7,CN1CCN(CC(O)CNc2nccc(-c3ccc4nc(C5COc6ccc(-c7ncc[nH]7)cc6C5)[nH]c4c3)n2)CC1,7.5131,-3.8386,-12.5200005,3,0,0,0,0,0,0,5,ASP122.A; ASP122.B,top10_hits_docking/mol7_out.sdf,0.6381681805439147
9,8,CC(=O)N1CCN(c2ncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CC1,7.5634,-4.1819,-13.8199997,3,0,0,0,0,0,0,3,ASP122.A; ASP122.B,top10_hits_docking/mol8_out.sdf,0.6259375555762073
10,9,CC(=O)N1CCC(NC(=O)c2cc(Nc3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)c[nH]2)CC1,7.5748,-4.1415,-13.3000002,3,0,0,0,0,0,0,5,ASP122.A; ASP122.B,top10_hits_docking/mol9_out.sdf,0.62202398402705
