cluster_id,size,centroid_SMILES,mean_Tyrosine_PiStacking,mean_Solubility,mean_pIC50,mean_Docking_Score,mean_composite
1,6,CN1CC(c2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)on2)C1,3.0,-4.378566666666667,7.348766666666667,-13.555,0.7135495999509484
2,1,CN(C)C1CCN(C(=O)c2c[nH]nc2-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)C1,3.0,-4.6312,7.7443,-13.4799995,0.7261046397710141
3,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cnc(N7CCN8CCC(C8)C7)nc6)cc5C4)[nH]c3c2)n1,3.0,-4.6445,7.4838,-14.1000004,0.7101526036212469
11,3,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cncn(CC7CCNCC7)c6=O)cc5C4)[nH]c3c2)n1,3.0,-4.915566666666667,7.467033333333333,-13.509999899999999,0.6881482805062578
12,1,COc1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N6CCC(N(C)C)C6)n5)cc4[nH]2)CO3)nn1C,3.0,-4.499,7.3399,-12.7299995,0.7001048978375013
9,1,CC(C)N1CC(CN(C)c2ncc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)N2CC2C1,3.0,-4.2972,7.7345,-12.9099998,0.7427771931845315
10,1,CNCCN1CC(Cn2cc(-c3ccc4c(c3)CC(c3nc5ccc(-c6ccnc(N)n6)cc5[nH]3)CO4)cn2)CCC1=O,3.0,-4.9315,7.5028,-12.96,0.6862778469080976
22,1,Nc1nccc(-c2ccc3nc(C4COc5ccc(-c6cn(C7OC(C(=O)NCC(O)CO)C(O)C7O)nn6)cc5C4)[nH]c3c2)n1,3.0,-3.3903,7.4102,-13.4499998,0.7795083540109341
21,1,CC(C)(CS(=O)(=O)n1nc(-c2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)cc1CO)S(C)(=O)=O,3.0,-4.3933,7.5803,-13.3199997,0.7280599709763115
18,1,CSc1nnc(CN2CCCN(C)CC2)c(Nc2ccc3c(c2)CC(c2nc4ccc(-c5ccnc(N)n5)cc4[nH]2)CO3)n1,3.0,-4.1285,7.2092,-9.9399996,0.6961749789791174
