canonical_smiles,pIC50,split
Br.CCCCn1c(=N)n(CC(=O)c2ccc(Br)s2)c2ccccc21,5.36,train
Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2,7.455,test
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.84,train
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.15,train
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,7.375,train
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,8.55,train
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.34,train
Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,8.0,train
Brc1nc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.15,train
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.64,train
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)NC(C)C)cn2)C1,6.19,train
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)N[C@@H](C)C(F)(F)F)cn2)C1,6.19,train
C#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)CC)C1,8.24,val
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,6.81,train
C#CCCOC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,5.86,train
C#CCN(C1CCOC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.26,train
C#CCN(c1c(F)cc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26,train
C#CCN(c1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26,train
C#CCN(c1ccc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.26,train
C#CCN(c1ccc(C#N)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.26,train
C#CCN(c1ccc(S(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.26,train
C#CCN1CCc2cc(Nc3ncc(C)c(-c4cnn(C(C)C)c4)n3)ccc2C1,6.42,train
C#CCNC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.36,train
C#CCSc1nsc(SCC#C)c1C#N,5.55,test
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,4.84,train
C#Cc1ccc(C(=O)c2ccc(-c3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,7.51,train
C#Cc1ccc(C(=O)c2ccc(CCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,7.09,train
C#Cc1ccc(C(=O)c2ccc(COCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,7.71,train
C#Cc1ccc(C(=O)c2ccc(OCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,7.8,train
C#Cc1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26,train
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.4,train
C#Cc1nc(Nc2cccc(CC(N)=O)c2)nc2[nH]cnc12,6.66,train
C(=C\c1ccco1)/CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,6.6,train
C/C(=C\C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)[O-])[C@H]4C[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])C[C@]4(C)[C@H]3CC[C@]12C)C(C)(C)C(C)C.[Na+].[Na+].[Na+],5.92,val
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],5.46,val
C/C=C/C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,7.19,train
C/C=C/C(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,6.22,train
C/C=C/C(=O)NCC(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,6.05,train
C/C=C/C(=O)Nc1ccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,5.67,train
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,5.85,train
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3cnn(CCOC)c3)n2)cc1,5.7,train
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)c1,5.67,train
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(C)c3)ncn2)c1,5.56,train
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CC(=O)NC)c3)ncn2)c1,5.96,train
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCN(C)C)c3)ncn2)c1,5.72,train
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCO)c3)ncn2)c1,5.55,train
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.59,train
C/C=C/C(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,5.55,train
C/C=C/C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.32,train
C/C=C/CCNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.7,train
C/C=C/c1ccccc1Nc1nc(Nc2cnn(C)c2)ncc1C(N)=O,8.68,train
C1=C(c2ncnc3[nH]ccc23)CCCC1,6.78,train
C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,7.05,train
