feature,importance,std_dev
heavy_atoms,0.035428286769505955,0.003998019424538753
mw,0.024585973465675637,0.0033594436082850045
fp_1506,0.015775862757550874,0.001492343794377107
rot_bonds,0.015470100599777315,0.0026295851023950155
fp_1026,0.013920792477477618,0.0018428668481359585
fp_1032,0.01356178452075365,0.0016372387379262842
fp_773,0.01241958605775353,0.0004122283551830386
fp_302,0.01146328277091153,0.002459540526907872
rings,0.010902006819995647,0.0044933418094763745
fp_503,0.009742041232468801,0.0008866877743583855
fp_1671,0.009723922202455304,0.0021998995399048595
fp_708,0.008800977681762245,0.0015230498567671664
tpsa,0.008615982784079778,0.001498179080305016
fp_1368,0.008294073963974035,0.0005043580360007836
fp_1148,0.008133732925743199,0.0004432620305432871
fp_1988,0.008050101387422215,0.0010072750100647884
fp_1114,0.007957823562993927,0.0014416799979503376
fp_1883,0.007811921744440497,0.0010396174322062596
fp_1142,0.007717518834234038,0.0005405817158026889
fp_352,0.007400540298491709,0.0008540953697050923
fp_1524,0.007377537069256946,0.0018183624581255703
fp_796,0.0072336802721997715,0.0005361626535764609
fp_1325,0.0070877632799113185,0.0012520369141961554
fp_814,0.006958238967651265,0.00046055030808905405
fp_1012,0.006937250698314146,0.0003327062974351088
fp_1221,0.00652014824323377,0.0011249103590645305
fp_806,0.006519511785796972,0.0013292672460817757
fp_1019,0.0059900877877319125,0.0009359999413558871
fp_29,0.005844997869774193,0.002064024584052878
fp_872,0.005767955528505886,0.0014164934665271574
fp_1880,0.005610048812234103,0.0008199012913788777
fp_576,0.005562128478214334,0.0016999201729876409
frac_csp3,0.005442854390424823,0.0021832164126693054
fp_157,0.005430950635179154,0.0006332644693008379
fp_1095,0.005237259671481453,0.0006349667042647553
fp_585,0.005230867440893472,0.0007284796376230234
fp_692,0.005206890668402786,0.0006900775971429184
fp_319,0.0051276832951127945,0.0007568483256842645
fp_1452,0.0050823207945593476,0.001415138858196757
fp_428,0.005072703520718758,0.0010475242922637054
fp_1589,0.00492225424998709,0.000550088280149561
fp_1476,0.004724804392499893,0.0013717013888257272
fp_711,0.004688194738055773,0.001312268358032303
fp_1152,0.004655960560280082,0.0012485740695240073
fp_1051,0.004483237405650153,0.0010427182977064873
fp_1663,0.004221070202557265,0.0007962221052055236
fp_926,0.004139826922910661,0.000922398172429317
fp_40,0.004135360779834762,0.0005765683151794479
fp_1,0.004128520627279575,0.0015394040357813187
fp_1591,0.004093664931462948,0.0011255356143912865
fp_1451,0.004085672766139159,0.0005979791386365623
fp_140,0.004070042811289221,0.0018281517139355538
fp_1344,0.004047558863910528,0.0006306335455900242
fp_2010,0.0039864380008235445,0.0008713602117332779
fp_1865,0.00397001296520203,0.0010732758221843014
fp_555,0.0038310489092751032,0.0007606202791440582
fp_350,0.0038234256324321423,0.0007347872352301046
fp_1928,0.0037944486208695504,0.0013126027834081968
fp_1162,0.0037865103300338764,0.000863514498414089
fp_136,0.0037631434893092173,0.0008927744172917273
arom_rings,0.003759691126745701,0.0016365710097490565
fp_87,0.003755681328267979,0.0005973513909114317
fp_682,0.003620365693609973,0.0005069674664063743
fp_857,0.0035975201658301702,0.0007096847715611168
fp_784,0.0035670223322519013,0.0004122679728213352
fp_681,0.0035320142747027107,0.0008743340228563425
fp_1874,0.003467574368628279,0.0006927272805695984
fp_1060,0.0034171879697431295,0.0009690941515163848
fp_721,0.0034151310149078684,0.0010135133890356739
fp_1088,0.0033860000391187084,0.0008262415660796146
fp_479,0.0033696860895149118,0.0007518982406875905
fp_1742,0.003293796898182655,0.0012250859647514707
fp_1539,0.0032192176460114517,0.0005428027052160353
fp_1860,0.003202604965009237,0.0008189380487590499
fp_338,0.003137178660413076,0.0007800051170913944
fp_130,0.0031238375923141604,0.0013984023606825897
fp_1288,0.00311237329870524,0.0005049528023952269
logp,0.0030605989032683745,0.0015213092180998867
fp_1143,0.0030289513773972933,0.0007700407632958131
fp_1255,0.0029920448371058895,0.001776368518363183
fp_1480,0.002972775783298953,0.0006538594449793732
fp_1971,0.002923234408003261,0.0005366542900873898
fp_112,0.0029091595692134265,0.0006805010496831856
fp_770,0.002904314591515633,0.001160192765094663
fp_1173,0.002886090405792108,0.0014671326718501826
fp_1036,0.002868374305235144,0.000426458713588441
fp_384,0.0028543237236442476,0.0006115765919689029
fp_737,0.0028487445282550762,0.0009115630302150126
fp_1897,0.002822642740945036,0.0015851226103713804
fp_1724,0.0027865334465107415,0.0007084370571646803
fp_446,0.0027760352218914263,0.0007995958831880117
fp_1479,0.0027580183832217387,0.00043681274363331456
fp_1094,0.0027208588675931233,0.0010858501042554402
fp_300,0.0026981038114788137,0.0008722166294025384
fp_843,0.0026937115969225545,0.0010354611857562794
fp_1164,0.002689021202762154,0.00044954936213185276
fp_544,0.002657341461497764,0.002071992201365511
fp_922,0.002606319671735613,0.0005205384011013524
fp_980,0.0026036473694202476,0.0009327009363690299
fp_542,0.0025468005695330033,0.0005825211353781378
fp_67,0.0025001132469718358,0.000813614439330662
fp_43,0.0024981225360094727,0.0006476417312186749
fp_531,0.00248611273530972,0.0004242353994513726
fp_932,0.002482470141705928,0.0004667549912873282
fp_607,0.00246398918864692,0.001131695447307436
fp_335,0.002423380588536572,0.0012972595437216027
fp_743,0.0024165286702091835,0.000564799631403632
fp_1595,0.0024083225587125945,0.0007848982089207552
fp_556,0.002385249411450063,0.00019904422624183167
fp_21,0.002329978595749371,0.0003594707957282044
fp_1154,0.0023289933640082473,0.0004932543534672492
fp_1426,0.00231181143494672,0.0008599908173556107
fp_415,0.0023056151364679867,0.00034744643648128846
fp_984,0.0023001233954339285,0.0010877815698513394
fp_715,0.002274878915088041,0.0005005603384329492
fp_339,0.002259955407654823,0.00042616761687801745
fp_1535,0.0022549022846527268,0.00154025373768074
fp_1199,0.0022230842250953397,0.0012756225208838824
fp_879,0.0022186521658871692,0.0004001209907312049
fp_405,0.00217795797703737,0.0007076252445258774
fp_754,0.002164271800262507,0.0011515103999861361
fp_1991,0.0021565983705540857,0.0016735018288830735
fp_1700,0.0021559341840827083,0.00095422118455482
fp_1463,0.0021350697523669247,0.00018753450294986928
fp_239,0.0021041483991898645,0.00014171065391602162
fp_163,0.0021041171290332892,0.000251790281416215
fp_59,0.0020738135946381854,0.00035846669776094266
fp_1978,0.0020671906955985085,0.0005148762621287128
fp_1083,0.0020596187407775357,0.00048209113789727083
fp_178,0.0020452549514920816,0.0004491636546503509
fp_309,0.0020425905933334487,0.0015095518835120554
fp_1512,0.0020293158128423805,0.00017691123099967672
fp_1942,0.0020174243441258843,0.0003290068772856343
fp_62,0.0019937698570193564,0.0007541049724521041
fp_1799,0.001955367546933129,0.0007813469467778032
fp_1168,0.0019516575823994796,0.00018104695039829584
fp_1129,0.0019366418724990676,0.0003160460416307264
fp_774,0.0018955741574751884,5.689259863940384e-05
fp_1423,0.0018831519778475414,0.0008501066215929521
fp_1765,0.0018760294926505549,0.00023573664700619453
fp_1089,0.00186466252460189,0.000691537747406255
fp_509,0.0018635077538570188,0.0006526835360738837
fp_1652,0.0018533046560670562,0.0003792318510134162
fp_910,0.0018389800271634727,0.0011429691367176261
fp_1439,0.0018255586426505043,0.00031668644487507905
fp_1268,0.0018089645486723204,0.0006375956221138848
fp_404,0.0017822811699731655,0.0007173010967302671
fp_1101,0.0017570469476527295,0.0006490268387880282
fp_80,0.0017531777063545472,0.0009259302690338589
fp_780,0.0017523183427386347,0.0008106232251921772
fp_45,0.0017454191420008813,0.0005636146387063007
fp_890,0.0017410744265978551,0.0010076405505432598
fp_253,0.0017257014557289674,0.00040821037407568427
fp_695,0.001721915163197485,0.0011139603113550685
fp_366,0.0017172326934650872,0.0005054614713586633
fp_1834,0.0017151749882996948,0.00041384574193418627
fp_60,0.001671387882098707,0.0005034200421585219
fp_1941,0.0016514792751233243,0.000494766856463624
fp_1552,0.0016458728670780908,0.0004359640387462571
fp_211,0.001637821828201158,0.00045524214154681774
fp_776,0.0016309028864632813,0.00033598795241857456
fp_251,0.001623898460671258,0.00048630366314442977
fp_1719,0.0016208838180109986,0.0004058136435256759
fp_1069,0.0016045610138692324,0.00032246509429200153
fp_1369,0.0016007457485976984,0.0011651848736146959
fp_213,0.0015564863081912073,0.0007973422297622341
fp_1459,0.0015390844692086513,0.00033896405390664556
fp_1816,0.0015389144303717072,0.0005321404614085706
fp_486,0.0015171463310634126,0.0007296210225307792
fp_1501,0.0015074944920054456,0.0003827994668326025
fp_935,0.0015052205283835995,0.0004011556478733747
fp_2020,0.0015007348266314446,0.0005260054524951172
