SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.7634408602150538,1.83
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.935064935064935,1.83
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.7738095238095238,2.42
CN1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.7560975609756098,2.7
OCCN1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.6853932584269663,2.89
NC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.8170731707317073,3.3
c1cnc(NC2CCCCNC2)c(-c2cnc3[nH]ccc3n2)c1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.7058823529411765,3.5
NS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.7446808510638298,3.62
CC(C)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.7126436781609196,3.88
c1cnc(NC2CCCCC2)c(-c2cnc3[nH]ccc3n2)c1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.7317073170731707,3.98
CN1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.6744186046511628,4.05
COC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,0.8095238095238095,4.23
