SMILES,SMILES_state,NLL,pIC50,logS,QED,SA
N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1,12.45,8.55618953704834,-3.8878116607666016,0.7996787783250496,3.3997141108615185
CS(=O)(=O)N1CCC(O)C(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,13.44,10.337912559509276,-2.3666019439697266,0.6044767807726968,3.619126220620691
CCS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,1,14.36,10.209972381591797,-2.992655038833618,0.6969300555347389,2.7488478553291458
COc1cccc(S(=O)(=O)CC2CC(N(C)c3ncnc4[nH]ccc34)C2)c1,1,14.16,9.41819667816162,-3.851616621017456,0.7006668286175298,2.7965955974655525
CNC(=O)c1cnn2ccc(N3CCCC3c3cc(F)ccc3CCO)nc12,1,16.7,8.020724296569824,-3.566417932510376,0.7051475941486833,3.2393696540435606
Cc1ccc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)nc1C,1,19.64,9.732924461364746,-3.2890405654907227,0.8031659364026834,3.2067733331033565
CS(=O)(=O)N1CCCC(Nc2nc(NC3CCC(O)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,1,15.42,9.830671310424805,-3.1854419708251953,0.4100454502897015,3.4913252936406485
N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)OCC(F)F)CC1,1,13.58,8.2553071975708,-3.840409755706787,0.6161976107753724,3.4735506793017272
CCn1cc(Nc2ncc(C(N)=O)c(NC3CC3(C)C)n2)cn1,1,16.1,8.124039649963379,-3.2200703620910645,0.7486327626282796,3.1722516351019845
CCCCCNc1nc(Nc2cnn(CC)c2)ncc1C(N)=O,1,18.98,8.346651077270508,-3.199781656265259,0.6110343442880892,2.4351804830330046
CN(C)CCC(=O)N1CCCC(Nc2nc(Nc3cccnc3)ncc2-c2cnc3[nH]ccc3n2)C1,1,21.39,8.923333168029785,-3.902132987976074,0.3443051492423021,3.4046773232398033
COc1ccccc1S(=O)(=O)CC1CC(N(C)c2ncnc3[nH]ccc23)C1,1,16.75,9.29112148284912,-3.813698291778565,0.7006668286175298,2.8131034922023943
CN(c1ccc(C(=O)O)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,1,14.34,9.483132362365724,-3.080252170562744,0.7477759350871866,3.114946614788309
N#CCC1CCN(c2ncnc3[nH]ccc23)CC1C#N,1,16.23,8.428330421447754,-3.144779682159424,0.8948093646264297,3.819190317841475
CC(C)CN1CCC(NC(=O)Cc2nc3cnc4[nH]ccc4c3n2C2CCC(CC#N)CC2)CC1,1,16.24,8.581308364868164,-3.827039241790771,0.5292434585974333,3.053188548699458
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)CC2CCC(C#N)CC2)C1,1,18.97,8.20531177520752,-3.84322738647461,0.5894868925470483,3.5077511926976293
CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)c2ccccc2CO)C1,1,19.83,9.184890747070312,-3.3507604598999023,0.6733559423547227,2.933164220947333
COCCn1cc(Nc2ncc(C(N)=O)c(NCc3c(F)cccc3F)n2)cn1,1,12.7,9.124332427978516,-3.4646012783050537,0.5000927106405366,2.60146829863192
