SMILES,SMILES_state,NLL
c1cnc2c(-c3ccsc3)cnn2c1,1,14.35
N#Cc1c(-c2cnn3ccccc23)nc(NC2CC2)nc1N1CCC1,1,7.88
CC1(C)CCN(c2nc(-c3cnn4cccnc34)nc(NC3COC3)c2F)C1,1,10.89
CC(=O)NC(C)c1ccc(OC2CCN(c3nc(N4CCCC4)ncc3F)C2)cc1,1,10.32
OC1CCN(c2c(F)c(NC3C4CC3C(F)(F)C4)nc(-c3cnn4ccccc34)c2F)C1,1,16.95
NC(=O)c1cnc(-c2cnn3ccccc23)nc1NC1CCCC1,1,10.61
CC1OCCC1Nc1nc(-c2cnn3ccccc23)nc(N2CCC(C)(F)C2)c1F,1,8.32
N#CCCNC(=O)C=CC=Cc1nc(N2CCOCC2)nc(N2CCCC2C#N)n1,1,21.33
O=C(Nc1nccc(N2CCOCC2)c1Cl)c1nccc2cccnc12,1,24.46
Fc1c(NC2CC3C=CC32)nc(NC2CSC2)nc1-c1cnn2ccccc12,1,12.42
COC1CC(CNc2nc(-c3cnn4cccnc34)nc(N3CCC(O)C3)c2F)C1,1,14.62
O=C1NCCC12CCN(c1nc(NC3CCCNC3)nc(-c3cnn4ccccc34)c1F)CC2,1,12.56
Fc1c(-c2cnn3ccccc23)nc(NC2COC2)nc1N1CC2(COC2)C1,1,7.44
N#CCN1C2CCC1CN(c1nc(-c3cnn4ccccc34)nc(NC3CCOC3)c1F)C2,1,14.59
OCC1CN(c2nc(NC3CC3)nc(-c3cnn4ccccc34)c2F)C1,1,10.16
Cc1cnc(N2CCC3C(C2)N3CC2CC2)nc1N1CCOCC1,1,19.64
O=C1CCC(c2nc(NC3CSC3)nc(-c3cnn4ccccc34)n2)C1,1,12.51
CC(C)Cc1csc(NS(=O)(=O)c2ccc3c(c2)OCCO3)n1,1,23.23
O=S1(=O)CCC(c2cc(-c3cnn4ccccc34)nc(NC3CSC3)n2)C1,1,8.47
