SMILES,SMILES_state,NLL
CNS(=O)(=O)C1CCN(c2ncc(Cl)c(Nc3ccc(C(C)(O)C(F)F)cc3)n2)CC1,1,24.55
CN(CCC1CNC(=O)C1)C1CCN(c2ncnc3[nH]ccc23)C1,1,10.16
CN(C)c1cnc(CN(C)C2CCN(c3ncnc4[nH]ccc34)CC2)cn1,1,11.61
CN(CC1(C#N)CCC(C(F)(F)F)CC1)C1CCN(c2ncnc3[nH]ccc23)CC1,1,11.74
CN(CC1(C#N)CCC(C#N)C1)C1CCN(c2ncnc3[nH]ccc23)CC1,1,5.73
CN(c1cncc(S(=O)(=O)C2(C)CC2)c1)C1CCN(c2ncnc3[nH]ccc23)C1,1,7.25
CN(C1CCN(c2ncnc3[nH]ccc23)C1)C1(c2ccnc3ccnn23)CCCCC1,1,17.01
CN(c1ccc(C#N)c(OC2CCC2)n1)C1CCN(c2ncnc3[nH]ccc23)C1,1,16.28
CN(C1CCN(c2ncnc3[nH]ccc23)CC1)C1CCN(C(=O)c2cnc3ccccc3c2)C1,1,9.34
CN1CCC(N(C)c2cn3nccc3c(Nc3cnn(C)c3)n2)CC1,1,18.18
CN1CCC(CN(C)c2cc(-n3ccc4cncnc43)ncn2)CC1,1,21.24
CC1C=CC(NC2CCC(CC3CC3(F)F)(C(=O)N3CCC(F)(F)C3)C2)C1,1,29.89
CC(Oc1cc(-c2cnc3ccnn3c2)cc(F)c1CNC1CCOCC1)c1cc(F)ccc1Cl,1,29.24
CN(c1ncc(CO)s1)C1CCN(c2ncnc3[nH]ccc23)C1,1,7.31
COC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,1,6.69
CN(Cc1ccncc1C#N)C1CCN(c2ncnc3[nH]ccc23)C1,1,7.92
CN(C1CCN(c2ncnc3[nH]ccc23)CC1)C1CC(C#N)C1c1nc2c([N+](=O)[O-])cccc2s1,1,19.64
CN(c1c(F)cccc1C#N)C1CCN(c2ncnc3[nH]ccc23)C1,1,6.96
C=CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,9.23
CN1CCC(N(Cc2ccccc2NCc2cccnc2)C2CCC(O)CC2)CC1,1,28.96
CC(=O)N1CC2CC1CN(C(=O)N(C)c1cnn(C3CC3)c1)C2,1,26.81
CN(CCC(=O)N1CCC(C#N)(c2ccc(F)cc2)CC1)C1CCN(c2ncnc3[nH]ccc23)C1,1,16.53
NC(=O)c1ccc(N(C2CC2)C2CCN(c3ncnc4[nH]ccc34)C2)nc1,1,14.83
CC(C)C(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,8.11
CCN(C1CCN(c2ncnc3[nH]ccc23)CC1)C1CCN(C2(C)CCN(C(=O)C3(C#N)CC3)CC2)C1,1,14.12
CN(C1CCN(c2ncnc3[nH]ccc23)CC1)C(CO)COC1CCOCC1,1,14.24
CN(C1CCN(CC2CC=CCC2)CC1)C1CCN(c2ncnc3[nH]ccc23)C1,1,9.64
CN(c1ncc(C#N)s1)C1CCN(c2ncnc3[nH]ccc23)C1,1,6.7
CC(=O)N1CC2CC1CN2c1ccc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)nc1,1,15.49
CN(C1CCN(CC2CN(C(C3CC3)C3CCN3S(C)(=O)=O)C2)CC1)C1CCN(c2ncnc3[nH]ccc23)C1,1,21.0
Cn1cc(NS(=O)(=O)c2ccc(C3CC3C(=O)Nc3ccc4cnccc4c3)cc2)cn1,1,19.87
COC(=O)N1CCC(Nc2cc(COc3ccc4sc(C)nc4c3)ncc2C(N)=O)CC1,1,24.65
CN(C1CCN(C(=O)C2CCCN2)CC1)C1CCN(c2ncnc3[nH]ccc23)CC1,1,13.89
CC(C)C(C(=O)O)N1CCC(CN2CCC(N(C)C3CCN(c4ncnc5[nH]ccc45)C3)CC2)C1,1,12.06
CN1CCC(CN(C)C2CN(c3nccc(-n4cnc5ccncc54)n3)C2)CC1,1,22.94
CN(c1cnc2c(-c3cc4ccnc(CO)c4s3)cnn2c1)C1CC1,1,18.16
COC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,6.74
CCn1cc(Nc2ncc3ccn(CC4CCCO4)c3n2)cn1,1,13.26
CCS(=O)(=O)c1ccc2c(c1)C=C(CN(C)C1CCN(c3ncnc4[nH]ccc34)CC1)CO2,1,11.73
N#CCCN1CCC(n2nc(-c3ncc(F)cn3)c3cccnc32)CC1,1,25.16
CN(C)CCCOc1ccc(Nc2ncccc2-c2ccc3ccccc3n2)cc1,1,18.42
CN1CCC(NC(=O)c2ccc(C#N)c(C#Cc3cnc4ccnn4c3)c2)CC1,1,20.39
CN(CC1=CC(C)(C)N(O)C1(C)C)C1CCN(c2ncnc3[nH]ccc23)C1,1,6.83
CN(c1cc(-c2ccncc2)nc2ccnn12)C1CCNCC1,1,14.68
CN(c1ccc(C(=O)N2CCCC2)nc1OC1CN(C(=O)C2CC2)C2CC12)C1COC1,1,31.71
CN(c1ncc(Cl)c(N2CCC(O)(c3ncc(Cl)cc3Cl)CC2)n1)C1CCN(c2ncnc3[nH]ccc23)C1,1,15.03
CN(C)c1cn(C2CCC3(CC2)CCN(S(=O)(=O)C2CC2)C3)nc1NC(=O)C1CC1,1,17.36
CCN(C1CCN(c2ncnc3[nH]ccc23)CC1)C1CCN(C(=O)CCC(F)(F)F)C1,1,10.11
CCN(c1ccc(C#N)nc1)C1CCN(c2ncnc3[nH]ccc23)C1,1,6.68
CN(C(=O)CC#N)C1CCN(c2ncnc3[nH]ccc23)CC1,1,7.2
CN(CC1CCC(C#N)C1NS(=O)(=O)C1CC1)C1CCN(c2ncnc3[nH]ccc23)CC1,1,13.97
CN(CC1(C#N)CCC(C#N)CC1)C1CCN(c2ncnc3[nH]ccc23)CC1,1,5.77
COCC(=O)N1CC2CC(C(=O)Nc3cccnc3)CC2C1(C)C,1,25.5
CCCN(c1nc(Nc2ncc(CCO)cn2)ncc1Cl)C1CC1,1,22.0
CN(CC1CC1c1cc2c(cc1F)OCCO2)C1CCN(c2ncnc3[nH]ccc23)C1,1,20.6
C#CCN(c1ccc(C#N)cc1)C1CCN(c2ncnc3[nH]ccc23)C1,1,6.34
Cc1cccnc1CN(C)C(=O)C1CC(N2CCC2)CN1Cc1csc(C(C)C)n1,1,31.37
CN1CCC(N(C)C(=O)c2ccc(Nc3nc4c(-c5cccc(S(C)(=O)=O)c5)cccn4n3)cc2)CC1,1,14.46
CN(c1ccn2nccc2n1)C1CCN(c2ncnc3[nH]ccc23)C1,1,10.94
N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccncc2)n1,1,14.4
CN(C)C1CC=C(CN(C)C2CCN(c3ncnc4[nH]ccc34)C2)C1,1,11.5
CCOC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,1,7.29
COc1ccc(-c2csc3c[nH]c(=NCC4CCNCC4)nc23)c(N(C)S(C)(=O)=O)c1,1,28.91
CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)c2ccncc2)C1,1,9.25
CCCNC(=O)C1CC(N2CCC2c2ccc(C#N)cn2)CN1,1,20.43
CCC(CC1CC1)(NC(=O)N1C(C)CNCC1C)c1ccc(F)cc1,1,32.08
CN(C1CCN(C(=O)C(C)(C)C(F)(F)F)CC1)C1CCN(c2ncnc3[nH]ccc23)CC1,1,11.55
CN(c1cncc(N2CCCC2)n1)C1CCN(c2ncnc3[nH]ccc23)C1,1,5.79
Cc1cncc(-c2nc(-c3cnn(C)c3)cn3nccc23)c1C,1,18.6
CC(C#N)C1CCCC2CCCN21,1,25.13
N#Cc1ccc(N2CCC(=O)N2)cn1,1,21.81
CC1(C)C(Nc2ncccc2C2=CCN(C(=O)OCC(F)(F)F)CC2)C1(C)C,1,21.29
CN(C(=O)c1ccc(Nc2nc3c(N4CCC(C(C)(C)O)CC4)cccn3n2)cc1F)C1CCCCC1N1CCOCC1,1,20.76
CN(c1cncc(Cl)c1)C1CCN(c2ncnc3[nH]ccc23)C1,1,9.17
Cn1c(-c2cnc(C#N)nc2)nc2c(N3CCC3)ncnc21,1,18.94
CN(c1ncc(C#N)cc1-c1cccnc1)C1CCN(c2ncnc3[nH]ccc23)C1,1,10.31
CN(c1ncc(C#N)c2ncnn12)C1CCN(c2ncnc3[nH]ccc23)C1,1,10.28
CCCN(CC1CC1)c1nc2c(N3CCOCC3C)nc(N3CCCC3C)nc2n1CC,1,33.55
Cc1cc(NC(=O)N2CCC(N(C)C3CCN(c4ncnc5[nH]ccc45)CC3)C2)ccc1C#N,1,14.92
CN(c1nnc(C(N)=O)c(NC2CCNCC2(F)F)n1)c1cc(F)ncc1F,1,28.34
CN(Cc1ccc2c(n1)NCCC2)C1CCN(c2ncnc3[nH]ccc23)CC1,1,12.13
Cc1cc(Nc2nccc(-c3ccc(C(=O)N(C)C)cc3)n2)ccn1,1,20.04
CN(CCC1CC(C#N)C1)C1CCN(c2ncnc3[nH]ccc23)C1,1,7.09
C=CS(=O)(=O)N1CCC2(CCC(N(C)C3CCN(c4ncnc5[nH]ccc45)CC3)CC2)C1,1,15.2
CCC(C)CNC(=O)c1cnn2cc-2[nH]c(=O)c(C2CC2)ccc(C#N)c1,1,34.05
C#CCN(Nc1nnc(C)s1)C1=CC(=O)c2cccc(c2)C1=O,1,22.07
CN(CN1CCCCC1)c1ncc(C(N)=O)c(NCC(C)(C)SS(C)(=O)=O)n1,1,38.83
Cc1nc(Cl)cc(NC2CCC3CN(c4nccs4)CC32)n1,1,26.23
CN(C(=O)N1CC(C(F)(F)F)C1)C1CCN(c2ncnc3[nH]ccc23)C1,1,10.8
CN(C(=O)N1CCC(N2CC3CCC2C3)C1)C1CCN(c2ncnc3[nH]ccc23)C1,1,12.08
CN(c1ccc(C#N)nn1)C1CCN(c2ncnc3[nH]ccc23)C1,1,11.41
