SMILES,SMILES_state,NLL,pIC50,logS,QED,SA
CC1(C(=O)N2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccccn4)n3)CC2)CC1,1,17.05,7.179136276245117,-3.6518332958221436,0.7545074035522515,3.304041615155773
Cc1c[nH]c2ncnc(-c3cnn(C4(CC#N)CC(C#N)C4)c3)c12,1,13.79,7.212646007537842,-3.8518214225769043,0.7987663005810808,3.515419908062416
COc1cc(NC2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1,1,14.46,5.5108819007873535,-5.667022228240967,0.6062923282233441,2.441040846952907
O=c1[nH]c2c(NC3CCOCC3)nc(-c3cnc4[nH]ncc4c3)nc2n1C1CCOCC1F,1,22.12,7.804777145385742,-4.109012126922607,0.42577560758125044,4.0637307446372395
Cn1c(-c2ccc(N)cc2)ccc1-c1ccccc1OCCCC(=O)O,1,20.97,5.929322719573975,-4.183305263519287,0.4947704860618411,2.2400263709605426
CC(C)CC(Nc1cc(F)c(F)cc1C#N)C(=O)O,1,26.56,5.811703681945801,-3.2882425785064697,0.8607692037658391,2.8092203221361842
N#Cc1cc(-c2ncnc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)ccc1OCC1CCNCC1,1,14.06,5.0305986404418945,-4.602156639099121,0.4542501855834984,2.9069163178113833
CN(c1ncnc2[nH]ccc12)C1CC(NS(=O)(=O)CC2CC2)C1,1,12.87,6.0072503089904785,-2.2915408611297607,0.8290484136757259,3.0068703018199887
CNS(=O)(=O)CCc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,1,21.29,6.759396553039551,-3.7204809188842773,0.6306138665680561,2.516973464818456
Fc1cnc(Nc2ccc(N3CCN(CC(F)(F)F)CC3)nc2)nc1N1CC2CC2C1,1,20.91,6.549385070800781,-3.9394612312316895,0.7221846700019521,3.487911871330054
CC(OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1)C(F)(F)F,1,12.25,7.565512180328369,-4.424065113067627,0.6055016372914183,3.696726346965204
Cc1nnc(CN2CCN(CC(F)(F)c3ccc(F)cc3)C(C)C2)o1,1,22.26,5.9000163078308105,-3.3706398010253906,0.8262482005950105,3.1117024389641337
CC(Nc1nnn2ncnc(-c3cnn(-c4cc(F)c(O)cc4CC(F)(F)F)c3)c12)c1ccccc1,1,24.25,7.157104015350342,-4.881621360778809,0.3323384973864101,3.7687542980297195
CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCC(O)C2)CC1,1,16.28,7.647373676300049,-2.700805187225342,0.794947066209694,3.363139122667471
CC1COCCN1c1nc(Nc2cccc(NS(=O)(=O)C(C)(C)C)c2)nc2cn[nH]c(=O)c12,1,17.18,7.310134410858154,-3.8100457191467285,0.5081944428654909,3.447516357120155
CC(Nc1nc(Nc2cnn(CCCO)c2)cc(-c2c(F)cncc2F)n1)c1ccccc1,1,23.56,7.208914756774902,-4.38505220413208,0.34855964774842796,3.254470270163633
C=CC(=O)Nc1cccc(N2CCC(N(C)c3ncnc4[nH]ccc34)C2)c1,1,20.36,7.022624492645264,-3.9245834350585938,0.6826935829670076,3.1366242990295694
CNC(=O)c1cn(C2(CC#N)CCN(Cc3cc(C)cnc3F)CC2)nn1,1,23.45,6.684651851654053,-2.6140573024749756,0.7974356379005569,3.2344674598137306
O=C(CBr)Nc1cccc(-c2cnn3c(Nc4ccccc4)ncnc23)c1,1,29.2,6.500234127044678,-4.905948638916016,0.47648094520319767,2.4122616969889457
CN(C(=O)c1cc2[nH]c(=O)c3cc(N4CCOCC4)ccc3c2n1C)c1nccs1,1,36.13,6.821972370147705,-4.350279331207275,0.5476765373426835,2.9425067697686025
CC1(C)CN(C(=O)CO)CC(F)(F)C1Oc1ccc(-c2ncnc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)cc1C#N,1,13.84,5.391077518463135,-4.575289726257324,0.3781457027705166,3.9322853567278866
NC(=O)c1cccnc1Nc1nc(NC2CCCCC2)ncc1Cl,1,23.52,7.119503974914551,-3.956871747970581,0.7676596294675415,2.400695011347878
Cc1cccc(Nc2nn(C3CCCCC3C#N)c3cc[nH]c(=O)c23)c1,1,16.72,5.372306823730469,-4.69589900970459,0.7486844671755424,3.6455893806139628
Cc1cnc(Nc2ccnn2C)nc1N1CCC(CC#N)CC1,1,15.35,7.5840277671813965,-3.424288272857666,0.9332508839652567,2.8775299827640435
N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1,12.45,8.55618953704834,-3.8878116607666016,0.7996787783250496,3.3997141108615185
