SMILES,pic50,logS,SA,RL_Score
COc1cc(-c2cccc(-c3cnc(CNCC(=O)O)c(OC)n3)c2Cl)ccc1CN1CC2(C(=O)O)CCC1CC2,9.6995,-5.0866,3.9824,0.1274175
COc1cc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CNCC1CCC(=O)N1,9.6335,-3.7057,3.4453,0.2446592
COc1nc(-c2cccc(-c3ccccc3Cl)c2Cl)cnc1CNCCNC(C)=O,9.5667,-4.6072,2.6007,0.142863
COc1cc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)cnc1CN1CCC(N2CC(C)(C)CCC2=O)C1,9.5347,-4.261,3.7733,0.1519088
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)ccc1CNCCNC(C)=O,9.5272,-4.2683,2.5954,0.1580439
COc1cc(-c2cccc(-c3cnc(CNCCNC(C)=O)c(OC)n3)c2Cl)ccc1CN1CCOCC1,9.4966,-3.7033,2.8321,0.1944539
COCCNCc1ncc(-c2cccc(-c3ccc(CNCC4CCC(=O)NC4)c(OC)c3)c2Cl)nc1OC,9.4956,-3.4794,3.4596,0.2082276
COc1cc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CN1CCCC(O)C1,9.4648,-3.3451,3.2797,0.2085688
COc1cc(-c2cccc(-c3cnc(CNC(CO)C(=O)O)c(OC)n3)c2Cl)ccc1CNCCC(=O)O,9.4505,-3.6519,3.326,0.1792652
COc1nc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CNCC1CCC(=O)N1,9.4428,-3.3507,3.5848,0.1952841
COc1nc(-c2cccc(-c3cnc(CNC(C)C(=O)O)c(OC)n3)c2Cl)ccc1CNCC1CCC(=O)N1,9.4335,-4.193,3.8738,0.1273318
COc1nc(-c2cccc(-c3ccnc4c3C(=O)N(C)C(C)(C)O4)c2Cl)ccc1CNCCO,9.429,-3.9079,3.1866,0.154164
COc1cc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)cnc1CN1CCC(C(=O)O)C1,9.4139,-4.3935,3.4371,0.1163101
COc1nc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CNCC1CCCC(=O)N1,9.4087,-3.5263,3.6026,0.1703719
COc1cc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CN1CCC1,9.4057,-3.5135,2.7085,0.176485
COc1nc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CNC1CCN(C)CC1,9.3969,-2.8759,3.0138,0.2121439
COc1nc(-c2cccc(-c3cnc(CNCC(=O)O)c(OC)n3)c2Cl)cnc1CNCCN1CCCCC1,9.3933,-3.905,3.1317,0.1440895
COCCNCc1ncc(-c2cccc(-c3ccc(C(C)(C)O)cc3)c2Cl)nc1OC,9.3916,-4.3509,2.7042,0.1162847
COc1nc(-c2cccc(-c3ccc(CNCC4CCC(=O)N4)cc3)c2Cl)cnc1CNCCO,9.3826,-3.404,3.337,0.1729917
COc1nc(-c2cccc(-c3cnc(CNCCC(=O)O)cc3Cl)c2Cl)cnc1CN,9.3722,-3.8605,2.913,0.1417011
COc1nc(-c2cccc(-c3ccc4c(c3)CCN4C(C)=O)c2Cl)ccc1CNCCO,9.3709,-3.4009,2.6244,0.1720888
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)cnc1CNCCNC(C)=O,9.3665,-4.5821,2.7582,0.09807
COc1nc(-c2cccc(-c3ccc(CNC(CO)C(=O)O)c(OC)n3)c2Cl)ccc1CN,9.3633,-3.0552,3.2388,0.1877495
COc1nc(-c2cccc(-c3cnc(CNCC4CCC(=O)N4)c(OC)n3)c2Cl)ccc1CNCC1CCC(=O)N1,9.3551,-3.8451,4.036,0.1246936
COc1cc(-c2cccc(-c3ccc(CNCCO)c(OC)n3)c2Cl)ccc1CNCC1CCC(=O)N1,9.3487,-3.7538,3.2995,0.1401765
COc1nc(-c2cccc(-c3cnc(CNCCO)c(OC)n3)c2Cl)ccc1CNCC1CCN(C)C1=O,9.3353,-3.2088,3.6425,0.1644411
COCCNCc1ncc(-c2cccc(-c3cccc4c3CCC4=NO)c2Cl)nc1OC,9.3351,-4.3844,2.9896,0.1015802
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)ccc1CNCCO,9.331,-4.1031,2.5358,0.116635
COc1nc(-c2cccc(-c3ccccc3Cl)c2Cl)cnc1CNCCO,9.3298,-4.1993,2.5579,0.1109373
COCCNCc1ncc(-c2cccc(-c3ccc(CNCC4CCC(=O)N4)cc3)c2Cl)nc1OC,9.3161,-3.3918,3.3259,0.1519638
