SMILES,pic50,logS,SAScore (raw)
CNCc1cc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)nc(OC)c1CNCCO,10.2898,,3.3065
COc1nc(OC2CCc3c(-c4cccc(-c5cnc(CN6CC(C(=O)O)C6)c(OC)n5)c4Cl)cccc32)c(Cl)cc1CN1CCC(NCCO)C1,10.287,,4.2931
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)NCCO)C5)c(OC)n4)c3Cl)c2F)ccc1CN1CCC(CC(=O)O)CC1,10.2675,,3.3135
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CCC(C(=O)O)CC5)nc4)c3Cl)c2Cl)ccc1CN1CCC(C(=O)NCCO)C1,10.2373,,3.566
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CCC(C(=O)O)CC5)c(Cl)c4)c3Cl)c2Cl)cnc1CN1CC(C(=O)NCCO)C1,10.2326,,3.2155
COc1nc(-c2cccc(-c3cccc4c3CCC4Nc3nc(OC)c(CNCC(=O)O)cc3C(F)(F)F)c2Cl)ccc1CN1CCC(NC(C)=O)C1,10.2306,,4.1792
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CCC(CCO)CC1,10.2186,,3.2918
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCNC(=O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CCC(CCC(=O)O)C1,10.2068,,3.7962
COc1nc(-c2cccc(-c3cccc4c3CCC4Nc3nc(OC)c(CN4CC(C(=O)O)C4)cc3C(F)(F)F)c2Cl)ccc1CN1CCC(O)C1,10.2035,,4.1627
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)NCCO)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CCC(C(=O)O)CC1,10.2013,,3.2608
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CCC(C(=O)O)CC5)nc4)c3Cl)c2Cl)cnc1CN1CCCC(C(=O)NCCO)C1,10.1997,,3.6775
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)O)C5)nc4)c3Cl)c2Cl)cnc1CN1CCC(NC(=O)CO)C1,10.1898,,3.6772
COc1cc(-c2cccc(-c3ccc(CN4CCC(C(=O)NCCO)C4)c(OC)n3)c2Cl)ccc1CN1CCC(C(=O)O)CC1,10.172,,3.3086
COc1nc(-c2cccc(-c3cccc(-c4cnc(C5=NCCN5)c(OC)n4)c3F)c2Cl)ccc1CN1CCC(C(=O)NCCO)CC1,10.1659,,3.3684
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CCC(CCC(=O)O)CC1,10.1656,,3.2318
COc1nc(-c2cccc(-c3cccc(NC(=O)c4nc5c(n4C)CCN(C)C5)c3Cl)c2Cl)ccc1CN1CCC(C(=O)O)CC1,10.1636,,3.2736
COc1cc(-c2cccc(-c3ccc(CN4CCC(C(=O)NCCN)C4)c(OC)n3)c2Cl)ccc1CN1CCC(C(=O)O)CC1,10.1618,,3.3263
COc1nc(-c2cccc(-c3cccc(-c4cc(C)c(CN5CC(C(=O)O)C5)c(OC)n4)c3F)c2Cl)ccc1CN1CCC(CCC(=O)O)CC1,10.161,,3.3151
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CCC(CO)CC1,10.1587,,3.2551
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)NCC(C)(C)O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CCC(CCC(=O)O)C1,10.1581,,3.8828
COc1cc(-c2ccc(CN3CCC(C(N)=O)CC3)c(OC)n2)ccc1-c1cccc(-c2cnc(CN3CCNCC3C(=O)O)c(OC)n2)c1Cl,10.1578,,3.7623
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Br)ccc1CN1CCC(C(=O)O)CC1,10.1536,,3.2581
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)O)C5)nc4)c3Cl)c2Cl)cnc1CN1CCC(NC(C)=O)C1,10.1519,,3.6125
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)O)C5)nc4)c3Cl)c2Cl)cnc1CN1CCC(O)C1,10.1407,,3.5438
COc1cc(-c2cccc(-c3ccc(CN4CCC(C(=O)NCCN5CCOCC5)CC4)c(OC)n3)c2Cl)ccc1CN1CC(C(=O)O)C1,10.1393,,3.0169
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CCC(C(=O)O)CC5)nc4)c3Cl)c2Cl)ccc1CN1CC(C(=O)NCCF)C1,10.1369,,3.2144
CCNC(=O)C1CN(Cc2ccc(-c3cccc(-c4cccc(-c5ccc(CN6CC(C(=O)O)C6)nc5)c4Cl)c3Cl)nc2OC)C1,10.1341,,3.1083
COc1nc(-c2cccc(-c3cccc(-c4ccc(CN5CC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CC(C(=O)O)C1,10.1336,,3.1543
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CCC(CCN(C)C)C1,10.1299,,3.7813
COc1nc(-c2cccc(-c3cccc4c3CCC4Oc3ncc(CN4CCN(C)CC4)c(OC)n3)c2Cl)ccc1CN1CC(C(=O)O)C1,10.1271,,3.7988
