SMILES,SMILES_state,NLL
CC1(CNCC2CCN(C(=O)Cn3ccc(-c4cccc(Cl)c4)n3)CC2)CO1,1,23.01
Cn1cnc2c(NCc3cccnc3)nc3[nH]ccc3c21,1,15.07
Cc1noc(C)c1NC(=O)N1CCC(N2CC(CC#N)(n3cc(-c4ncnc5[nH]ccc45)cn3)C2)CC1,1,11.64
CN1CCN(CCOc2cccc3[nH]c(=O)ccc23)CC1,1,15.02
N#CCC1(n2cnc(Nc3cc(N)ncn3)c2)CN(C(=O)OCCn2cccn2)C1,1,28.47
CCOC(=O)c1cnc(N(C)C)nc1NCc1ccccc1C,1,13.27
N#CCC(=O)NNC(=O)c1cccnc1,1,15.75
CN(c1ncc(NC(=O)c2cnn3cccnc23)s1)C1CCN(C(=O)CN2CCOCC2)CC1,1,24.65
N#Cc1ccc(CN2CC3C(=O)NCN3C2)cc1,1,23.85
CN1CCN(C(=O)Cn2cc(Nc3ccn4ncc(-c5ccc(C(=O)NC6CCS(=O)(=O)CC6)cc5)c4n3)cn2)CC1,1,10.12
COc1cnc(CC(=O)NC2CCOCC2)cn1,1,16.64
O=C1NCc2ncnc(NC3CCOC3)c21,1,14.52
CC(CN1CCc2ccccc21)NC(=O)OCc1cccnc1,1,24.73
CN=C(NC#N)NCCCn1ccnc1,1,15.19
COCCNC(=O)c1cnn2ccc(N3CCCC3c3c[nH]cnc3=N)nc12,1,13.41
COCCCN1CCN(C(=O)Nc2ccncc2)CC1,1,14.89
OCCCOCn1ccc(-c2ccc(Cl)cn2)n1,1,22.86
CC(C)Cn1nc(C(=O)NC(C)C)c2c(=O)[nH]ccc2c1=O,1,23.87
Cc1ncc(-c2cnc(N3CCN(C)CC3)c3nc(Nc4cnn(CC(=O)N5CCC(N6CCNC6=O)CC5)c4)nn23)s1,1,22.98
OCc1cc(-c2cn[nH]c2)nn1-c1ncnc2[nH]ccc12,1,27.16
CN1CCN(C(=O)CC#N)CC1,1,6.63
CNC(=O)c1cnn2cccnc12,1,10.25
