SMILES,SMILES_state,NLL,pIC50_pred,solubility_pred,SA_score,valid_mol
CC1(CNCC2CCN(C(=O)Cn3ccc(-c4cccc(Cl)c4)n3)CC2)CO1,1,23.01,6.550524,-3.3057094,3.09784638481279,True
Cn1cnc2c(NCc3cccnc3)nc3[nH]ccc3c21,1,15.07,6.745637,-2.5548303,2.5850595013254694,True
Cc1noc(C)c1NC(=O)N1CCC(N2CC(CC#N)(n3cc(-c4ncnc5[nH]ccc45)cn3)C2)CC1,1,11.64,7.722076,-4.3534575,3.3487693684223103,True
CN1CCN(CCOc2cccc3[nH]c(=O)ccc23)CC1,1,15.02,6.8865833,-2.1074271,2.0564978448962297,True
N#CCC1(n2cnc(Nc3cc(N)ncn3)c2)CN(C(=O)OCCn2cccn2)C1,1,28.47,7.05366,-3.4576712,3.478055070305274,True
CCOC(=O)c1cnc(N(C)C)nc1NCc1ccccc1C,1,13.27,6.3673854,-3.5964224,2.2181998691276803,True
N#CCC(=O)NNC(=O)c1cccnc1,1,15.75,6.611109,-2.0620935,2.1933144374852365,True
CN(c1ncc(NC(=O)c2cnn3cccnc23)s1)C1CCN(C(=O)CN2CCOCC2)CC1,1,24.65,7.4982815,-2.3067102,2.969604868646792,True
N#Cc1ccc(CN2CC3C(=O)NCN3C2)cc1,1,23.85,6.7047405,-1.7190619,3.224466425905357,True
CN1CCN(C(=O)Cn2cc(Nc3ccn4ncc(-c5ccc(C(=O)NC6CCS(=O)(=O)CC6)cc5)c4n3)cn2)CC1,1,10.12,8.010783,-3.4120526,2.9900319788804293,True
COc1cnc(CC(=O)NC2CCOCC2)cn1,1,16.64,7.2564783,-1.6699233,2.4188556626783058,True
O=C1NCc2ncnc(NC3CCOC3)c21,1,14.52,7.030693,-1.7444175,3.4334846068241553,True
CC(CN1CCc2ccccc21)NC(=O)OCc1cccnc1,1,24.73,6.8731885,-3.6244042,2.610428607383433,True
CN=C(NC#N)NCCCn1ccnc1,1,15.19,6.612082,-1.2202172,2.9204136196983708,True
COCCNC(=O)c1cnn2ccc(N3CCCC3c3c[nH]cnc3=N)nc12,1,13.41,6.9594593,-2.8336475,3.6516593335307403,True
COCCCN1CCN(C(=O)Nc2ccncc2)CC1,1,14.89,6.4158177,-1.3258455,1.9532102250996601,True
OCCCOCn1ccc(-c2ccc(Cl)cn2)n1,1,22.86,7.317958,-2.0665517,2.4812325857552278,True
CC(C)Cn1nc(C(=O)NC(C)C)c2c(=O)[nH]ccc2c1=O,1,23.87,6.655161,-2.8141072,2.5777950651398207,True
Cc1ncc(-c2cnc(N3CCN(C)CC3)c3nc(Nc4cnn(CC(=O)N5CCC(N6CCNC6=O)CC5)c4)nn23)s1,1,22.98,7.927296,-2.4472075,3.384749591540994,True
OCc1cc(-c2cn[nH]c2)nn1-c1ncnc2[nH]ccc12,1,27.16,7.135032,-2.669904,3.074186052193956,True
CN1CCN(C(=O)CC#N)CC1,1,6.63,6.842505,0.60534716,2.1943247781910546,True
CNC(=O)c1cnn2cccnc12,1,10.25,6.6912518,-1.5239688,2.2904859038549787,True
CCN(C)C1CCN(C(=O)Cn2cc(Nc3cnc4cccc(N5CCN(CC(C)O)CC5)c4n3)cn2)CC1,1,14.98,7.546086,-2.7878904,3.405306297474171,True
CN(c1nccc(-c2cnn(C)c2)c1C(=O)NCCN1CCNCC1)C1CCN(S(C)(=O)=O)CC1,1,19.82,7.2851133,-1.9457489,2.9902818949571586,True
N#CCCN1CCCC(NC(=O)N2CCOCC2)C1,1,13.23,6.741486,-0.6777504,2.763301944513806,True
CNCCOc1ccccc1-c1cn[nH]c1,1,15.12,6.98825,-2.022172,2.2389943018622436,True
CNC(=O)c1cnc(N)c2nc(Nc3cnn(CC(=O)N4CCC(N(C)CC#N)CC4)c3)ccc12,1,19.08,7.19208,-2.7658176,3.056462314537578,True
CC(C)(C)OCC(=O)N1CCCOC1=O,1,14.75,6.996923,-1.2739073,2.588347349573148,True
N#CCC1(n2ccc(-c3ncnc4[nH]ccc34)n2)CN(CCF)C1,1,15.11,6.609968,-3.1055934,3.499985312351223,True
CN(CCO)CCn1cc(NC(=O)c2cnn3cccnc23)cn1,1,13.78,6.848805,-1.8678498,2.627563238772627,True
CCN(C)C(=O)N1CCN(CCCO)CC1,1,15.05,6.733531,-0.15271834,2.1624114124112683,True
