SMILES,SMILES_state,NLL
CCCC(C)n1cnc2c(-c3cccc(-c4cccc(NC(=O)C(C)(C)O)c4Cl)c3C)ccnc21,1,37.77
CC(=O)NCCNCc1cccc(COc2c(CNCCO)cc(Cl)c(OCc3cccnc3)c2Br)c1,1,32.98
Clc1cc(N2CCCC2)ncc1CNCC1Cn2ccnc2CO1,1,24.77
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNc5ccccc5CNCCO)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,1,22.19
Oc1cc(-c2cc(Cl)cc(O)c2Cl)c(O)[nH]1,1,28.23
N#Cc1cc(-c2cccc(-c3cccc(-c4cnc(CNC5CCC(C(=O)O)C5)c(N)c4)c3Cl)n2)cnc1CNCC1CC1,1,29.46
O=c1cc(CO)oc(CN2CCC2)c1O,1,20.19
COc1ccc(Cc2ccc(-c3ccc4c(c3)OCCO4)c3c4c(ccc23)C(=O)OC4)cc1,1,29.97
COc1ccc(COc2cc(OC)c(-c3cncc(CN)c3)c3cccnc23)c(Cl)c1Nc1c[nH]cn1,1,42.3
Cc1c(F)cccc1Nc1cc(NC(=O)CN2CCCCC2)c(N2CCCCC2)cn1,1,43.92
CCOC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(C(=O)NC)n2)CC1,1,29.16
Cc1c(COc2ccc(CCNCC(=O)O)c(OCc3cccc(-c4ccccc4)c3C)c2)cccc1-c1ccccc1,1,26.14
CC1CNC(=Nc2ccc(F)c(OCc3ncc(C(F)(F)F)cc3Cl)c2)CS1(=O)=O,1,41.13
COc1ncc(CNc2cc(C)ccc2C)c(OC)n1,1,18.12
Cc1cc(C)cc(OCC(=O)Nc2cccc(S(=O)(=O)N3CCCCC3)c2C)c1,1,26.52
COc1nc(-c2cccc(-c3cccc(-c4cccc(F)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,1,18.69
O=C1NC(=O)C2C(COC2c2ccccc2)N1,1,28.58
COCC(=O)NC(COC)C(=O)NC1COc2cc3c(cc2O1)C(OC(C)=O)c1cc2c(cc1C3c1cc(OC)c(OC)c(OC)c1)OCO2,1,59.49
COCc1nnc(CC2(O)CCN(C)C(C)C2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1,32.92
NCc1cccc(CN2CCN(Cc3cscn3)CC2)c1,1,23.65
CCCc1nn(C)c(C(=O)OC)c1[N+](=O)[O-],1,24.19
CCN(CC(=O)Nc1cc(C)ccc1OC)C(=O)c1ccccc1,1,28.15
COc1cc(OC)c(Cl)c(-c2cc(C(O)C3CCCC3)c3cc(-c4c(C)noc4C)ccc3n2)c1,1,38.65
COc1ccc2ncc(NCc3ccc(C)cc3C)n2n1,1,29.86
COc1ccc(OC)c(NC(=O)Nc2cccc(Br)c2)c1,1,26.69
Cc1c(COc2ccc(CN3CCC(C#N)CC3C(=O)O)cc2)cccc1-c1ccc2c(c1)OCCO2,1,27.24
Cc1c(C)n(-c2ccccc2)c2ncnc(N3CCC(C(N)=O)C3)c12,1,26.51
COc1cccc(-c2nnc(SCC(=O)NN=Cc3cccnc3)o2)c1,1,25.63
COc1cc(-c2cnnc3c2ncn3-c2ccc(C)c(C)c2)cc(OC)c1OC,1,29.7
Cc1ccc2nc(C)c(CN3CCCC3=O)nc2c1C,1,31.89
COc1c(Cl)cc(CC2c3cc(Br)c(OCCNS(=O)(=O)c4cn(C)cn4)cc3CCC2NC(=O)COc2ccc(Cl)c(Cl)c2)cc1Br,1,48.4
CNCCNCc1cccc2nc(CNc3ccc(OC)nc3)cnc12,1,30.71
COc1nc(-c2cccc(-c3ccccc3-c3ccccc3)c2Cl)cnc1CNCC1(C)COC1,1,23.04
Oc1ccc2[nH]cc(CCNCc3ccc4onc(-c5ccccc5)c4c3)c2c1,1,33.12
Cc1c(NC(=O)CNC(=O)c2ccc(CNCCN3CCOCC3)c(CNC(=O)C(C)(C)C)c2)cc(CNCCO)cc1-c1cccc(NC(=O)c2cc3sccc3n2C)c1C,1,47.3
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCN1CCN(C)CC1,1,16.94
COc1cccc(-n2c(O)cn(Cc3ncnc4c3ccn4CCO)c2=O)c1,1,36.29
COc1c(C)c(O)c2c(O)c(C(=O)NCCNC(C)=O)cc(O)c2c1O,1,25.91
COc1nc(-c2cccc(-c3ccccc3CO)c2Cl)cnc1CNCC1CCC(=O)N1,1,14.86
COc1cc(-c2cccc(O)c2)c(C)c(-c2ccccn2)c1O,1,25.94
COc1ccn(Nc2cccc(C(=O)NCCN3CCOCC3)c2O)c(=O)c1C(CCNCc1ccccc1)c1ccccc1N,1,59.58
CNc1cc(NS(=O)(=O)c2ccc3sc4c(=N)[nH]cnc4c3c2)n(C)c1,1,40.62
