SMILES,SMILES_state,NLL
COc1cc(NCc2ccccn2)c2nc(-c3cnn(C)c3)cnc2c1-c1cccc(OCc2cccnc2)c1C,1,33.46
Cc1c(-c2ccccc2)ccnc1C(=O)Nc1ccc(CN2CC(O)CC2CO)c(Cl)c1,1,24.43
CNC(=O)C(C)NCc1cnc(C(=O)Nc2cccc(-c3cccc(NC(=O)C4(C)CC4)c3C)c2C)cc1CN1C(C)COCC1C,1,35.44
N#Cc1cncc(COc2ccccc2CN2C(C(=O)O)CCS2(=O)=O)c1,1,20.04
c1ccc(N2CCN(C3CCC3)CC2)nc1,1,20.0
COCCNCc1cccc(COc2c(F)ccc(-c3cccc4oc(NCC5CC5)nc34)c2Cl)c1,1,36.07
CCOC(=O)CNCc1ccc(Oc2ncnc3c(-c4cccc(NC(=O)c5cncc(OC)c5)c4C)cccc23)cc1NC(C)C(=O)O,1,38.16
CN1CCc2c(nc(C(=O)Nc3cccc(-c4cccc(NC(=O)c5nc6c(n5C)CCN(C)C6)c4C#N)c3Cl)n2C)C1,1,11.83
COc1nc(-c2cccc(-c3cccc4c3CCc3cc(C(=O)NCCO)n(C)c3-4)c2Cl)ccc1CNCC1CCC(=O)N1,1,23.45
Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccc2nc(C)n(Cc3cccc(-c4ccccc4)c3)c2c1,1,28.45
COc1nc(-c2cccc(-c3cccc(-c4[nH]nc5cnc(CNC(CCO)C(=O)O)cc45)c3Cl)c2Cl)cnc1CN1CC(OC)C1,1,34.34
CC1COCCN1c1cc(N2CCc3cc(S(C)(=O)=O)ccc32)nc(OC2CCc3c(-c4ccccc4)cccc32)n1,1,28.47
CCn1cc(CC(=O)O)c2ccccc21,1,20.56
COc1nc(-c2cccc(-c3cccc4c3CCC4Oc3nc(OC)c(CN4CCC(C(=O)O)C4)cc3C(F)(F)F)c2Cl)ccc1CNCC1CCC(=O)N1,1,12.58
CC1COCCN1c1cc(-c2ccc3c(c2)OCCO3)nc(N2CCOCC2C)c1,1,16.34
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,1,14.81
COCCNCc1ncc(-c2cccc(-c3cccc(-c4ccnc(N(C)Cc5nccn5C)n4)c3Cl)c2Cl)nc1OC,1,28.65
COc1nc(OC(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)c(Cl)cc1CNCC(O)CO,1,23.58
Cc1c(C(=O)NCC2CCC(CO)N2)cccc1-c1cccc(-c2nc3cccc(CNCCO)c3o2)c1Cl,1,33.98
COc1nc(OC2CCc3c(-c4ccc5[nH]c(-c6ccc(CN7CCC(c8noc(CN9CC%10(CNC(=O)C%10)C9)n8)C7)cc6F)nc5c4C)cccc32)c(Cl)cc1CN1CCC(C(=O)O)C1,1,35.47
CCN(CCC(=O)O)Cc1ccc(OCc2cccc(-c3ccccc3)c2C)c([N+](=O)[O-])c1,1,22.15
COc1cc(N2CC3CC2CN3C(=O)C23CCC(C2)N(CCO)C3)c(Cl)c(C(N)=O)n1,1,36.2
CC(=O)NCCNCc1ccccc1C,1,17.71
Cc1ccccc1-c1cccc(CNCCO)c1,1,13.45
Cc1c(-c2ccccc2)cccc1C(C)(C)NCCO,1,19.42
O=C(Nc1cccc(-c2ccccc2)c1Cl)C1CCN(Cc2ccc3c(c2)OCCO3)CC1,1,21.69
N#Cc1cccc(COc2cc(C(=O)Nc3cc(CNC(CO)C(=O)O)cc4nonc34)c(Cl)cc2CNC(CO)C(=O)O)c1,1,21.44
CS(=O)(=Nc1cc(N2CCOCC2)nc(-c2ccnc3[nH]ccc23)n1)c1ccccc1,1,23.99
CN(CCO)Cc1cn(C)c(=O)c2c1ccn2C1CCCC1,1,28.74
CC1COCCN1c1cc(N=S(C)(C)=O)nc(-c2cccnc2)n1,1,9.06
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)ccc1CNCC1CCC(=O)N1,1,16.66
COc1cc(-c2cccc(CNC3CC(C)(O)C3)c2Cl)ccc1CNC1CCC(OCc2cccc(-c3ccccc3)c2C)C1,1,31.14
N#Cc1cccc(COc2cc(Oc3cccc(-c4ccc5ncccc5c4)n3)c(Cl)cc2CNC2CC(O)C2)c1,1,24.15
COc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4nc5c(n4C)CCN(C)C5)c3Cl)c2C)ncc1CNC1CCC(O)CC1,1,18.74
Cc1cc(C(F)(F)F)cnc1CNc1c(Cl)ccc(CNC23CCC(C(=O)O)(C2)C3)c1Br,1,30.92
Cc1cc(NC(=O)c2cc(OCc3cncc(C#N)c3)c(CNCCO)cn2)c(CNC(C)(C)C(=O)O)cc1CNCC(O)CO,1,32.3
COCCNCc1cccc(-c2ccc3oc(-c4cccc(COc5cc(OCc6cccc(C#N)c6)c(CNCCNC(C)=O)cc5Cl)c4C)nc3c2)c1,1,21.66
CCOC(=O)CN1CCC(c2cccc(-c3cccc(-c4cnc(CNCC5(O)CC5)c(OC)n4)c3Cl)c2Cl)CC1,1,29.07
Cc1c(COc2cc(OCc3cncc(C#N)c3)c(CNCCO)cc2Cl)cccc1-c1cc2c(C(=O)O)c[nH]c2cc1Br,1,27.53
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC5CCOC5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC(N)=O,1,18.55
O=C(O)C1CCCCN1CCc1cccc(F)c1,1,20.77
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(O)C1,1,12.62
