Epoch,Validity (%),Uniqueness (%),Mean Max Tanimoto,Exact Copies (%),Novel (<0.4) (%)
10,100.0,100.0,0.4195307711191789,1.6326530612244898,61.42857142857143
20,100.0,100.0,0.4781517180389059,3.925619834710744,48.760330578512395
30,100.0,100.0,0.5386250371714693,7.6604554865424435,37.68115942028986
40,100.0,100.0,0.5651468678977303,8.60655737704918,33.81147540983606
50,100.0,100.0,0.5942998041159151,15.541922290388548,32.92433537832311
60,100.0,100.0,0.6273698487939577,18.012422360248447,27.536231884057973
70,100.0,100.0,0.6641660954044349,22.520661157024794,22.520661157024794
80,100.0,100.0,0.6675782995447723,24.421052631578945,22.736842105263158
90,100.0,100.0,0.698515763323779,29.75206611570248,19.834710743801654
100,100.0,100.0,0.7211621428124093,31.932773109243694,18.067226890756302
